,words,count
0,beer,91
1,taste,88
2,head,84
3,like,69
4,pours,68
5,dark,65
6,good,57
7,nice,55
8,head.,54
9,medium,53
10,white,52
11,light,50
12,really,49
13,black,48
14,one,48
15,sweet,46
16,bit,46
17,bourbon,46
18,-,45
19,bottle,45
20,smell,44
21,great,43
22,nose,43
23,poured,42
24,feel,41
25,thick,40
26,notes,40
27,color,40
28,aroma,39
29,body,37
30,well,36
31,beer.,36
32,chocolate,35
33,finish.,34
34,vanilla,33
35,creamy,33
36,orange,33
37,coffee,33
38,barrel,32
39,fruit,32
40,mouthfeel,32
41,flavor,31
42,tropical,31
43,lacing,30
44,carbonation.,29
45,citrus,29
46,brown,29
47,hazy,29
48,much,28
49,full,28
50,dry,28
51,still,27
52,overall,27
53,almost,27
54,"chocolate,",27
55,smells,26
56,hint,25
57,little,25
58,roasted,25
59,smooth,25
60,would,25
61,lacing.,24
62,glass.,24
63,finish,24
64,finger,24
65,rich,23
66,also,23
67,big,23
68,hints,23
69,"coffee,",22
70,tan,22
71,moderate,22
72,quite,22
73,carbonation,22
74,sweetness,22
75,aged,22
76,tart,21
77,flavors,21
78,"vanilla,",21
79,pour,21
80,"overall,",21
81,touch,21
82,excellent,21
83,oak,21
84,lots,21
85,malt,21
86,super,20
87,"beer,",20
88,hop,20
89,way,20
90,slightly,20
91,best,20
92,deep,19
93,top,19
94,i'm,19
95,slight,19
96,palate,19
97,strong,19
98,it.,19
99,even,19
100,stout,19
101,definitely,19
102,fresh,18
103,get,18
104,floral,18
105,golden,18
106,nose.,18
107,around,18
108,first,18
109,notes.,18
110,blend,17
111,bitter,17
112,caramel,17
113,"oak,",17
114,it’s,17
115,sour,16
116,lot,16
117,follows,16
118,try,16
119,quickly,16
120,maybe,16
121,soft,16
122,there's,16
123,taste:,16
124,beers,16
125,pretty,16
126,overall:,16
127,beautiful,15
128,alcohol,15
129,glass,15
130,"smooth,",15
131,tastes,15
132,pale,15
133,wine,15
134,pine,15
135,2021,15
136,fruity,15
137,long,14
138,huge,14
139,time,14
140,"sweet,",14
141,hops,14
142,think,14
143,aromas,14
144,high,14
145,love,14
146,mild,14
147,comes,14
148,small,14
149,look,14
150,"malt,",14
151,abv,14
152,bodied,13
153,yellow,13
154,"head,",13
155,green,13
156,better,13
157,taste.,13
158,s:,13
159,"citrus,",13
160,got,13
161,me.,13
162,tons,13
163,"mango,",13
164,balance,13
165,i’m,13
166,malts,13
167,finishes,13
168,"bourbon,",13
169,fairly,13
170,maple,13
171,back,13
172,"bottle,",13
173,drink,13
174,body.,13
175,t:,12
176,clear,12
177,flavors.,12
178,low,12
179,here.,12
180,drank,12
181,thin,12
182,"taste,",12
183,mouthfeel.,12
184,"caramel,",12
185,bitterness.,12
186,heavy,12
187,"toffee,",12
188,bright,12
189,"nose,",12
190,enough,12
191,oak.,12
192,mouth,12
193,favorite,12
194,"carbonation,",12
195,appearance,12
196,"peach,",12
197,bitterness,12
198,sure,12
199,"orange,",11
200,character,11
201,thanks,11
202,real,11
203,"pineapple,",11
204,smooth.,11
205,nearly,11
206,lemon,11
207,i've,11
208,sweet.,11
209,juicy,11
210,two,11
211,grapefruit,11
212,spice,11
213,see,11
214,"molasses,",11
215,jet,11
216,that's,11
217,"fruit,",11
218,complex,11
219,could,11
220,"bodied,",11
221,hops.,11
222,stout.,11
223,followed,11
224,vintage,11
225,"malts,",11
226,minimal,11
227,"funk,",10
228,coconut,10
229,easy,10
230,funk,10
231,end.,10
232,incredibly,10
233,fantastic,10
234,perfect,10
235,less,10
236,motor,10
237,half,10
238,note,10
239,amount,10
240,herbal,10
241,looks,10
242,know,10
243,mostly,10
244,nothing,10
245,balanced,10
246,front,10
247,color.,10
248,amazing,10
249,"creamy,",10
250,wonderful,10
251,old,10
252,brings,10
253,mocha,10
254,dried,10
255,consumed,10
256,o:,10
257,amber,10
