,words,count
0,the,287
1,a,263
2,and,219
3,of,195
4,with,188
5,this,160
6,is,149
7,to,146
8,it,126
9,in,119
10,but,112
11,on,112
12,i,109
13,very,98
14,that,91
15,beer,91
16,taste,88
17,not,86
18,head,84
19,for,83
20,some,76
21,as,74
22,like,69
23,pours,68
24,was,65
25,dark,65
26,from,63
27,just,60
28,good,57
29,my,56
30,at,56
31,nice,55
32,an,55
33,head.,54
34,medium,53
35,white,52
36,has,52
37,it's,51
38,light,50
39,really,49
40,black,48
41,one,48
42,bit,46
43,bourbon,46
44,sweet,46
45,-,45
46,more,45
47,bottle,45
48,no,44
49,smell,44
50,up,44
51,nose,43
52,great,43
53,into,42
54,had,42
55,poured,42
56,feel,41
57,notes,40
58,color,40
59,thick,40
60,aroma,39
61,are,38
62,have,38
63,body,37
64,beer.,36
65,so,36
66,well,36
67,chocolate,35
68,finish.,34
69,vanilla,33
70,out,33
71,coffee,33
72,orange,33
73,creamy,33
74,all,33
75,than,33
76,can,33
77,mouthfeel,32
78,barrel,32
79,fruit,32
80,tropical,31
81,flavor,31
82,be,30
83,lacing,30
84,brown,29
85,hazy,29
86,carbonation.,29
87,citrus,29
88,much,28
89,full,28
90,dry,28
91,overall,27
92,still,27
93,"chocolate,",27
94,almost,27
95,you,27
96,by,26
97,smells,26
98,would,25
99,smooth,25
100,little,25
101,roasted,25
102,or,25
103,hint,25
104,lacing.,24
105,finish,24
106,glass.,24
107,finger,24
108,also,23
109,hints,23
110,big,23
111,rich,23
112,tan,22
113,sweetness,22
114,moderate,22
115,carbonation,22
116,"coffee,",22
117,quite,22
118,aged,22
119,which,21
120,"overall,",21
121,oak,21
122,about,21
123,what,21
124,malt,21
125,flavors,21
126,"vanilla,",21
127,tart,21
128,lots,21
129,pour,21
130,touch,21
131,excellent,21
132,way,20
133,there,20
134,slightly,20
135,"beer,",20
136,if,20
137,hop,20
138,best,20
139,super,20
140,deep,19
141,top,19
142,i'm,19
143,definitely,19
144,strong,19
145,palate,19
