,username,location,text
0,AlbertVinh,,"@JohnFetterman Let's send @DrOz to be our 51st Vote in the U.S. Senate to SAVE this Country From the Terrible Policies from the Biden Administration which are causing record inflation, highest gas prices due to non-energy independece, high-record interest rates, and more! #PASEN"
1,sdmikef,"Right here, right now ...","@DashaBurns @NBCNightlyNews @TODAYshow @NBCNews Nice hit-job @DashaBurns .

The man is appearing in front of large crowds and has been on countless interview shows without any issues. He was even fine on your interview.

But you couldn’t help but color it dark. Shame on you and on @NBCNews .

#PASen"
2,AlbertVinh,,"@DrOz Let's send @DrOz to be our 51st Vote in the U.S. Senate to SAVE this Country From the Terrible Policies from the Biden Administration which are causing record inflation, highest gas prices due to non-energy independece, high-record interest rates, and more! #PASEN"
3,TheWuhanClan,Fallout Shelter,John Fetterman is a vegetable and not fit for office #pasen
4,AureliusStoic1,"Pennsylvania, USA","You feel for this man, personally, but as a Pennsylvania voter myself I can't cast my vote for someone who is in this state of health. Particularly without the release of his medical records. But I will root for his full recovery.

#PASen

https://t.co/ds80f160rg"
5,Dsquared75,Arlington VA,#PASen https://t.co/Mtfp7rDr39
6,lxeagle17,"Berkeley, CA","I don't know what's going to happen in #PASen. We have the race at Lean D right now, but I can easily see us picking Oz.

But it's just ghoulish that someone would weaponize their opponent's stroke against them, and very telling that reporters are piling on too."
7,RussOnPolitics,"New York, NY/Cruise Ship",This reporter is deservedly getting dragged for this ableist tweet. #PASen https://t.co/nqPGasKmDP
8,TooHungry2Fxn,"Los Angeles, CA","sam, you’re not a doctor. please explain the different pathologies of these strokes. ischemic vs. hemorrhagic. and please explain the different medical therapies indicated for each. what about an afib-induced stroke? wanna read up on the literature? 

#fetterman #PASen https://t.co/XwnVpOZZDe"
9,Faazzla,"Washington, DC",You all are doing a hit job to make Fetterman look terrible yet he’s more coherent than so many other US Senators currently serving. Just terrible framing by you and other MSM journalists tonight. #PASen https://t.co/vqjgWpaBwo
10,reedgalen,United States,"Give me a recovering @JohnFetterman over a fully “functional” @DrOz all day, every day. #pasen"
11,tdappel,"Irving, TX",@DashaBurns @NBCNightlyNews @TODAYshow @NBCNews Your political coverage has been shallow and vapid throughout. Thoroughly unimpressive. You’ve kicked it up a notch by turning John Fetterman into an “other.” #PASen
12,daveabrowne,The lonely end of the rink,"On one hand you have a guy recovering pretty well from a stroke while on the other you have America's most notorious snake oil salesman who's literally killed hundreds of dogs.
#PASen https://t.co/ye2IoOTusS"
13,EricaGrieder,"Houston, TX","I’m sincerely stunned by some of the #PASEN discourse this evening, now that I’m belatedly catching up on it https://t.co/79qILTrauo"
14,KellyannePolls,USA🇺🇸,Reporters at @CBSNews &amp; @NBCNews openly questioning tonight whether @JohnFetterman in #PASen is fit for office. https://t.co/xWQccmg1g4
15,eaglzfan1967,,Exactly and @DashaBurns  a person actually up to the task of conducting and interview has ZERO problem understanding their subject. Lt. Governor Fetterman is imminently qualified for #PASen https://t.co/YJUqBjgM5e
16,sirpropaganda,In the Basement and 100% Alive,2 WEEKS TIL THE LUMP DEBATE #Fetterman #PASen https://t.co/lOvaB6oSZo
17,4AnimalLife,,"@miket9999 @ScoutThrasher @bmcgon77 @DashaBurns I'd much rather vote for a decent man and actual Pennsylvanian like Fetterman, than New Jerseyan carpetbagger and far-right snake oil salesman Mehmet Oz for NJ Gov.  https://t.co/600eZUImtP

Oz would be a disaster for PA and for America.
#RoeRoeRoeYourVote #PASen"
18,JR_in_the_414,,"Desperation hits @JohnFetterman’s puppeteer, as journos finally commit acts of journalism. #wipolitics #wiright #wiunion #PASen #papol https://t.co/p8H5E2rPtM"
19,sirpropaganda,In the Basement and 100% Alive,"@edokeefe A vote for Lump is a vote for crime, inflation, and higher taxes #pasen"
20,davesmith3,location,"@daveweigel could Fetterman do a schumer-see a random headline in the paper tomorrow, tell his staff to organize a newsconference on a cold nasty fall sunday and do it? Could he do a full Ginsberg? Could he run a scotus confirmation like Arlen in 05? This is a real job. #pasen"
21,UPTGOP,"Upper Providence Township, PA",Voters must watch this interview and ask themselves if John Fetterman is fit to serve as 1 of 100 Senators in the entire United States. PA must choose carefully. Notwithstanding Fetterman's horrible record on crime. #PASen https://t.co/mYyvv3Y9BP
22,ebeth360,,"Great. So then he can debate tomorrow, right? #pasen https://t.co/PTfVZVEnhi"
23,Pretefunkera,"New Jersey, USA","@candynotcandace @JohnFetterman It feels like a donation would send a good message. #PASen 

https://t.co/kfpdIs0hx6"
24,berkfran,,"@NBCNightlyNews @DashaBurns Just saw #Fetterman give a clear, insightful live interview on @Lawrence. MSM is profoundly #complicit in the degradation of our democracy. #PASen"
25,MamaBurf,,@NBCNightlyNews @DashaBurns @AmazingPhil #PASEN https://t.co/bYFlZH0ruv
26,trippwhitbeck,A little off-center.,In which Hunter Walker emphasizes the issue is that John #Fetterman is simply a functionally deaf man. Uh huh... #PaSen https://t.co/6fsZrgj1Tu
27,trippwhitbeck,A little off-center.,"The thing with #Fetterman is that the Senate is not a data-entry place. It's ""the world's greatest deliberative body."" It is apparent to even the biggest John Fetterman partisan that the guy has tremendous issues with ""deliberative"" stuff. It's patently obvious.
#PaSen https://t.co/d8ctBojBR7"
28,nealcarter,United States,It's clear to me that @DashaBurns doesn't understand disability. Rather than asking the policy questions she makes the Fetterman interview a ableist spectacle. It's gross and dehumanizing. #PASen #CripTheVote https://t.co/3uSGpCJw8y
29,DamonMast,"Philadelphia, PA",@DashaBurns @JoshKraushaar I’m far more concerned with Dr. Oz thinking Tequila and Salsa go with crudités than I am with John Fetterman’s auditory processing. #JohnFetterman #DrOz #PAsen https://t.co/u9auHTIFhw
30,trippwhitbeck,A little off-center.,"Why no, why would you think the media works hard to get Democrats elected? It's not as though they receive marching orders or talking points and get asked to forward them to followers..

What's this? 🤯😬
#Fetterman #PAsen https://t.co/d8ctBoBL5f"
31,DCLongIslander,Youngkin Land 🔁 Long Island,"Reality is, Fetterman campaign has handled his health issues badly &amp; has made it more an issue w/o realizing. By not being more upfront with folks &amp; just setting the record straight, they’ve let it linger on more. 

Not that I’m complaining watching their ineptitude. #PASen  😂"
32,cjforiowa,"Iowa, Born and Raised. he/him","This entire exercise smacks of #ableism. I use caption apps quite a bit since I’m hard of hearing, and I’m a Comms Director for a U.S. Senate campaign. @JohnFetterman’s auditory processing has nothing to do with his fitness to serve. @NBCNews should apologize. #PASen https://t.co/d49hsPnMSn"
33,DCLongIslander,Youngkin Land 🔁 Long Island,"When you’re explaining, you’re losing. 😂😂😂😂 #PASen https://t.co/aMI9RNJIqE"
34,NeilRobertson,,"So… @JohnFetterman fumbles “empathetic” while @DrOz fumbles “Wegners”… one is more telling than the other. #PASen

Hint: crudités https://t.co/RUx9K46xTq"
35,EagleEdMartin,"Virginia, USA","I guess the citizens of Pennsylvania don't have a ""need to know"" about their candidates.

#PASen https://t.co/dxekJMlJaz"
36,tencor_7144,"New Jersey, CD-06, LD-18","Two big stories in #PASEN today

SMP goes up with Oz Dog ad
Fetterman has trouble in NBC interview

And PredictIt is reacting very one sided to those two very different stories https://t.co/KK5sBWsPBv"
37,CMDR_Paylor,United States,"Kara’s no pushover. #Fetterman was honest, sincere and forthcoming with CBS. 

After GOP’s recent infusion of tens of millions in #DarkMoney, CBS, Breitbart and Wash Times now call it a toss up. 

I call BS.  

#FettermanForSenate #PASen https://t.co/0NwuPiTr9d"
38,Patriot_Voices,,Mehmet Oz is effectively closing in on Fetterman by hitting him hard on his weak record on crime as Lt. Governor - @RickSantorum on The Record with @greta via @newsmax #Pennsylvania #PASen #DrOz #Fetterman #crime https://t.co/tVbMwsqwcl
39,PhoenixJones123,Pennsylvania,"End this clown show already.

Vote Oz. #PASEN https://t.co/cFwKBluQl5"
40,KellieMeyerNews,"Washington, DC",Important interview in the #PASen. First time we hear from Dem. Candidate @JohnFetterman for an in person sit down interview since suffering his stroke in May. Fetterman uses closed caption technology to understand the questions. The race has moved from Lean Dem to toss up. https://t.co/bgEubJWqm8
41,Linda1746,,@JoshKraushaar #PASen https://t.co/WRqU27hvMF
42,VPerroneDem,"Philadelphia, PA",What’s better than your candidate coming to your home town and campaigning at your elementary school? Probably nothing. Cannot wait for Saturday! #pasen #delco https://t.co/pkxXBhMPRx
43,ebeth360,,"INBOX:
#PASen https://t.co/d0p3XxU9gI https://t.co/hZlIM8KuuN"
44,CATargetAlt,"The Cloud, CA","NEW FEC F5
WORKING AMERICA
$259,284 -&gt; #OHSEN #GASEN #PASEN #NCSEN #WISEN #NVSEN
https://t.co/AODVQVxMla https://t.co/KiB664QUIT"
45,meg_Y12,Sick bay #GeeksResist🧡🧡🧡,"He is healing and adapting. Stop making something out of nothing. He reads and processes instead of just listening. So what? He is a stroke survivor! He will continue to recover every day. #Rockstar 

Shame on you and @NBCNews #Strokesurvivor #PASen https://t.co/uVdOBAeqQZ"
46,davecatanese,"Washington, DC","Oz’s campaign is now blasting an average of FIVE texts a day, getting increasingly theatrical. 

If ya actually took political advertising seriously, you’d have thought that yesterday he was on the verge of dropping out. 

#PASEN https://t.co/IXt1fsidHs"
47,LCommaThoughts,,The way this is being framed is deeply unsettling and ableist. Using closed captioning has nothing to do with cognition. #pasen https://t.co/wesg3c1ljF
48,connordpeters,"Niagara, Ontario","""For the doctor who wants to make fun of every time I miss a word, there's two words missing for Dr. Oz: yes or no on the national abortion ban"" @JohnFetterman on @NoLieWithBTC #PASen 
https://t.co/kh0UpTiCuU"
49,Hans4PA,"Paoli, PA","Anyone who would deliberately harm even one dog is unfit to serve the public. @DrOz killed 300 dogs!!!!

The choice is easy: Vote @JohnFetterman for Senate. #PASen https://t.co/kU7bKcugY4"
50,PatriotPinellas,"St Petersburg, FL",That Dr Oz served in the Turkish Army is everything you need to know.  He cannot be trusted.   #PASen
51,OnTaskDemocrat,"Pennsylvania, USA","Yes, planted is an inflammatory word.

But this is millions of dollars in free press.

Who did him these favors?

#PASen"
52,kgittins,"West Palm Beach, Florida",This is important….Fetterman can’t perform his duties as a Senator for PA with these issues #PASen https://t.co/zGeMvbF5lg
53,loriciolm,,@JoshKraushaar Did the Oz campaign ask you to repeat this nonsense? Or maybe pay you? #PASEN
54,jimebacker,,"@DrOz  laughing #trump even oz thinks #donthecon is stupid
#PASen #Pennsylvania https://t.co/2UB9I45dXa"
55,OnTaskDemocrat,"Pennsylvania, USA","Time is growing short and we are all upset about how things are going

Just the messenger here

Candidates that are safely ahead don't get 3 separate prime time slots on MSNBC in one night

#PASen"
56,Kristina_Why,"North Carolina, USA","So what we find out in Josh’s thread here is that Dasha Burns didn’t actually have the “first face to face” interview with Fetterman. 
(Not Josh’s fault … he was reporting what NBC claimed)
Read the comments in the thread. @karaswisher and @MollyJongFast have thoughts. #PASEN https://t.co/AP1vnvkDXR"
57,DCLongIslander,Youngkin Land 🔁 Long Island,"Also, I’ve noticed how increasingly defensive the Fetterman supporters are when it comes to raising even the slightest question of whether he is even up to the job. 

The lady doth protest too much methinks 😂 #PASen"
58,DCLongIslander,Youngkin Land 🔁 Long Island,"Fetterman isn’t going to debate, this is where this is headed. #PASen"
59,KevDGrussing,"❤️ @TheRealDonEast❤️/Hiram, GA","We got Senators in their 90s and plenty of politicians who need hearing aids to do their job.
But hey, Fetterman needing a Captioning device is a major flaw apparently.
Such Ableist bulls**t…
#PASen"
60,ebeth360,,#PASen https://t.co/MVDZI0NgBj
61,ebeth360,,"The talking points are going out tonight after that painful to watch @JohnFetterman interview.
#PASen https://t.co/at3Dn2MZW9"
62,KevDGrussing,"❤️ @TheRealDonEast❤️/Hiram, GA","Believe you me. I have big issues with Fetty and I’m not his biggest fan, but this ableist s**t from Oz’s people and the media just ain’t it and he’d be a zillion times better than that dog killing, snake oil selling, Armenian genocide denying TV doctor from Jersey.
#PASen"
63,ebeth360,,"This “reporter” is already auditioning for a role on @JohnFetterman’s Senate staff in the case PA voters are stupid enough to vote for him.  
#PASen https://t.co/LnsYUzXa43"
64,Subliminal73,,#BidenGasHike Biden War On USA #Energy = #Bidenflation + Higher #Food &amp; Heating Cost: #NewYork #NYC #NYgov #NYsen #NYpol #Pennsylvania #PAsen #PAgov #PApol #Ohio #OHsen #OHpol #Alaska #AKsen #AKpolitics #WIpolitics #WIsen #WIgov #Michigan #MIgov #MIpol #NHsen #CTsen https://t.co/ELMalY9a7A
65,DCLongIslander,Youngkin Land 🔁 Long Island,"I keep saying it, guys. 

@DrOz is going to be the next Senator for Pennsylvania. He’s in the driver’s seat right now. #PASen 🇺🇸🔥"
66,MadMimi3,Southern California,Ooh boy. #PASen https://t.co/QMsl9R0NhA
67,W7VOA,"Washington, DC ",In his first sit-down interview since his stroke #PASen candidate @JohnFetterman discusses his health. https://t.co/teatqDtQL4 via @nbcnews
68,Hammer_To_You,In the hood,"Come on #PASEN ...

Y'all know... https://t.co/EsZcyWMtwZ"
69,PoliticsOnMyMnd,Maryland,"Setting politics aside for a sec. The tone of this report is so bad. Regardless of how you feel about @JohnFetterman, he has a disability and not all disabilities are visible. See @AAPD. This was irresponsible behavior from @NBCNightlyNews @DashaBurns. #PASen #PoliticsOnMyMind https://t.co/hoqrk9dMTb"
70,rpyers,"West Hollywood, CA","It's a Tuesday evening, which means its time for another spending dump from Mitch McConnell's Senate Leadership Fund. Tonight's $23.9 million blitz:

#GASen $4,736,442
#PASen $4,105,008
#OHSen $3,991,954
#NCSen $3,961,481
#NHSen $3,350,590
#NVSen $2,740,457
#AKSen $1,027,725 https://t.co/oXdtOiqi2U https://t.co/LEjiW4j3yK"
71,TooHungry2Fxn,"Los Angeles, CA","@DrOz is the clear choice for #PASen

#Fetterman is not physically capable. Seeing this interview is honestly difficult. I feel bad for him. He should spend time with his family and follow his dr’s recs at this point in his life. 

He cannot serve 6 years"
72,ironworker1,,"What is THIS?  “It wasn’t clear he understood” is not the same as “He didn’t understand."" And: It may not have been clear to Burns, but that says nothing about what Fetterman actually heard or not …. Really bad.
#PASEN #Election2022 #Fetterman https://t.co/Q1dsQXnDoX"
73,CATargetAlt,"The Cloud, CA","NEW FEC F24
SENATE LEADERSHIP FUND
$4,105,008-&gt; #PASEN
https://t.co/qCgtKsw0O5 https://t.co/ZbE9liygeD"
74,emmandemm77,,"@greg_price11 LOL #morningjoe might actually be entertaining tomorrow to see the panel of our betters relentlessly twisting themselves into pretzels to explain and excuse away this abysmal performance 

Clearly the only #PASen option is @DrOz"
75,Dsquared75,Arlington VA,#PASen #Oz #AnimalCruelty h/t @AJentleson https://t.co/8AiOQr1gjs
76,MarkDavis,Dallas-Ft. Worth TX,"I genuinely feel for #PASen Democrats. They deserve a candidate who receives praise or criticism based on his actual views and his agenda. #Fetterman is simply not functional, and won’t share medical records to dispel that concern. https://t.co/lPwIywEW53"
