web-scraper-order,web-scraper-start-url,home_page,home_page-href,reviews
"1666819284-1","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Bottled January 19, 2017. Appearance is a rusty amber with short-lived fizzy white head. Raspberries are still quite present on the nose, more so than I would have expected given the age of the beer. There's some light funk, oak and implied tartness to the aroma as well. Definitely a nice smelling beer. 



Taste is much more complex than the nose. Quick, tart blast up front, followed by an intriguing raspberry / oak funk and a long finish that brings back a second clear wave of tartness. Faint notes of apricot lurk in the background. 



Overall, if you like raspberries and are ok with a tart beer, you'll like this. I'm finding if somewhat of a sipper that's not quite as light and easy going down as the Tilquin Oude Gueuze I had a bit earlier, but it's definitely a good beer."
"1666819284-2","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","This is likely spot-on for style, but a bit too much pucker for me. Pours a beautiful berry-red with a quick-fading cap of white. Aroma is heavenly raspberry and very mild funk. Flavors are delicious as well, with tons of berry dominating. Very tart. So tart. But, I don't review so much for style attributes, but whether I enjoy. This one took me 2 sittings."
"1666819284-3","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Thanks to Roy_Hobbs for this one, as part of the beatings he delivered during NBS BIF #15. 12.7oz Cork and Caged bottle (Packaged Dec 3 2020) poured into 14oz teku. Poured a lovely dark red color with about 1/8 inch of pink head that quickly dissipated and left no lacing.



The aroma was solidly full of raspberry, with just a light bit of grain in the background.



On the tongue, a big hit of bitterness punches the front of the palate, with raspberry dominating the rest.



The body was light, crisp, had decent carb, and a very dry finish.



Drinkability was very good, I'd like to have regular access to this.



Overall, a very good beer. A must-try if you see it."
"1666819284-4","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","375ml bottle from 2012.



Pours dark copper with a burgundy tinge. Quickly fizzling head with zero retention or lacing. Fairly evident raspberries in the nose with faint cider vinegar and diaper. Light bodied with a slickish, limp mouthfeel. Raspberries on the palate with a solid tartness but short of sour or jammy. Finishes with a nice balance of tart and raspberries."
"1666819284-5","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Draft at the brewery. 



Lovely clear pinkish red. Smell is tart and kinda funky. Flavor follows, oak and funk manifest most in the swallow."
"1666819284-6","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","12.7oz corked and caged on 12/3/20. Opened 1-16-22.

1/2"" pink tinted head, limited retention and ends up as a partial cap and ring. No lacing. The beer is a glowing red/purple with very good clarity - beautiful color. Tart raspberry, oak, light funk, and vinous quality in the nose. Awesome tart raspberry flavor, bright, rich fruit with bracing acidity. Light body, bright entry, medium acid, all in a dry, tart fruit-filled finish. Outstanding."
"1666819284-7","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Pours a vibrant red with low pink head.



Smell is tart and vinous with notes of fresh raspberries, raspberry jam, lime, oak and bit of funk.



Taste is phenomenal. Tart with tons of fresh raspberries and a bit of jam. Dry and vinous with notes of peach, oak, funk and a bit of bitterness. Nice acidity and tremendous balance.



Mouthfeel is medium and dry with effervescent carbonation.



Overall, a stunning beer. I am a huge fan for raspberries in beer, and this is close to the daddy, Cantillon's Rose de Gambrinus."
"1666819284-8","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Ruby red color somewhat translucent. Licorice and raspberry on the nose. Candied raspberry tart taste with some very yeast notes. Really pops in the mouth; crisp. Lots of flavors here. Solid beer."
"1666819284-9","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Very interesting and complex ale. First, this is definitely a sour. I usually do not like sours but this is definitely one I will keep drinking. The nose is a very light raspberry with a hint of yeast or fruit wine influence. It is a beautiful deep red color. The taste definitely has a fruit wine influence with a subtle bubbly or spicy finish. Overall a fantastic well made beer, especially if you enjoy raspberries."
"1666819284-10","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Appearance - The beer was pinkish red is color with white bubble clinging to the sides of the glass. 



Smell -,The nose brought to mind vinegary red berries. 



Taste - There was a lot of raspberry in the taste, but I also detected some tart cherries. It was surrounded by a vinegary presence. The profile was tart, but did not remove tooth enamel. Sourness was lessened by a dry finish. 



Mouthfeel - The carbonation was fairly intense, allowing for a dry finish. 



Overall - This was a fine, well balanced sour."
"1666819284-11","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Look: beautiful, opaque garnet red. Soft white head evaporates quickly; no lace. Ring of tiny bubbles along the glass. 



Smell: subtle sour raspberries. Some funk. All gorgeous.



Taste: sharp, tangy, sour raspberry with some funk and vinegar. Beautiful rich fruit with sharp notes taking it up and up. 



Feel: Lots of sharp, active, elevating tiny bubbles. Sharp on the tongue in the best possible way.



This is a magnificent beer. All angles, sharpness, acid, funk, and fruit. And bubbles. It's alive..."
"1666819284-12","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Caged and corked bottle dated dec3.,2020 and opened May 16,2021



Fizzy pink foam immediately evaporated over a translucent ruby red liquid 



Aroma is tart raspberries



Taste is tart , raspberry , and more tart , hint of apricot , the funk is there 



Very tart , fizzy sudsing , tart bone dry finish 



Good beer"
"1666819284-13","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","I want more funk. The raspberry character is big but the beer lacks depth. Would love to get some musty barnyard or brett character to provide some dimension. Wouldn't buy again."
"1666819286-14","https://www.beeradvocate.com/beer/top-rated/","Flora","https://www.beeradvocate.com/beer/profile/22511/62290/","L -- Golden yellow with some particulate in suspension 

S -- Really evolves in the glass. starts lemon, apple cider vinegar, white wine, and a light floral character. over time lots of mineralic nuances come through. almost like a mountain stream 

T -- Green apple, lemony wheat, okay tannins, and a hint of fruit gummies. A bit tart, but I kinda figured it would be 

F -- Bright, with a fine effervescence and wine-like finish 

O -- Florence is my least favorite of the core lineup so I wasn't expecting to be blown away by this, but hill farmstead is just so consistently good



86/100"
"1666819286-15","https://www.beeradvocate.com/beer/top-rated/","Flora","https://www.beeradvocate.com/beer/profile/22511/62290/","B7"
"1666819286-16","https://www.beeradvocate.com/beer/top-rated/","Flora","https://www.beeradvocate.com/beer/profile/22511/62290/","A: Retention becomes an accelerated rupture shortly after the discharge, which emanates a willowy throw-over. Nonetheless, the preceding kick-off presents a spumescent elegance, as the stretch reaches to inches ahead of that ensuing regression. That initial onset categorizes those collared inches from Arabian Oryx to shredded coconut, before the unseating takes a painter’s knife to the pebbly brim. Just below is a presentation on appearance that succumbs the Golden Shield Lichen, with a Tuscan sun appeal. The output continues with intermittent transfers, which later transcribe hues in chartreuse, as shades of dim scarlet calmly intersect. During the walk, a growing classiness from air drafts of duration, which polish an engraving collar endowment with coupled calm clarity



S: Entryway is greeted by an involvedness preempted by esters, and a countryside funk that’s just setting off. In that regard, the indulgence stretches across citrus fruits with a ploughed rusticity that incises the herbed wheat kindly. The scents carry on towards cameo apples besides the pear drop to honey bananas, while pink & white grapefruit alloy the baboon lemon kind of limes. There’s a touch of grainy malt, for the cracker-y moments, which respect the advancing yeast properties to umbrella remote spices. In the interim, a distant dank earthiness, for fresh hay and cut pastures, while pulling a dragged mustiness out from barnyard phenols. The aerated openness channels oak to the finer points inside dry/calibrated wine, as a background frowzy lays horse blankets atop cellar moths. The forward march is neatly acidic, while continuing to press earthy must on fading rose petals, before the dry & brittle antiques of wooden leather



T: A mineralogy reading, for foretaste to indulge, with the accompanying fruit + spices relating to the harvested derives. Inferences campaign on earthy farmsteads with feedlot jazz and cultivated tobacco, as a tempered acidity roots crimson red rhubarbs. On balance, a light malt baking to field hops with a toasted spiciness, while yeast properties grind along a rural bitterness. Accordingly, grassy provinces with situated granaries that stow garnered wheat. The vintage addresses contextual funk, and pushes agricultural sulfates thru river rock mulch, as fungus builds upon the air-dry acclimations. There’s a developing cue of Grüner Veltliner, by the elongated pour for grape tinges, and a furtherance for cellar natures. To that end, a docility on acidity, as notations add oddity for woodlot ecology and slurry manure, afore dry skin briefcases



M: A bright, light buoyancy with antiquated funk, and sharp vibrancy. The allotted span comes with arbitrated tartness, which is moderated throughout, as a compliment to the progressed barrenness. Thus, a thrilling attenuation that styles effervescence handily, as the timed exposure madcaps the resounding involvedness from side to side upon the clean-complete finish 



O: An environmental showcase that harvests funk habitually, with a touch of wheat malt in back to weigh hop efficiency. The moment of service is a period of effectiveness, given the dry bite for the webbed yeast densities and age aligning land-locks"
"1666819286-17","https://www.beeradvocate.com/beer/top-rated/","Flora","https://www.beeradvocate.com/beer/profile/22511/62290/","I had the 2016 version which is a blend of Florence age for 18 months in a selection of wine barrels whose providence includes art and civil disobedience number 10. Very good beer."
