,Unnamed: 0,type,url,displayUrl,caption,commentsCount,likesCount,labels,labels_str
7,7,Image,https://www.instagram.com/p/Cli39u3y_8p/,https://scontent-fra5-2.cdninstagram.com/v/t51.2885-15/317485087_478121450870287_8373401906716479861_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=1&_nc_ohc=xpZVnvBBPjYAX-Ak_pP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDB5ROjkLb_zPAjYt2UPbJiLYU4T2F3X3xg9wOUPXcnNg&oe=638ACF8F&_nc_sid=86f79a,"Matching with my mini-me😘 @normapetris

Shop Item #:5421572 5061332 

#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD",62,16817,"['Outerwear', 'Wheel', 'Tartan', 'Car', 'Shorts', 'Tire', 'Waist', 'Thigh', 'Happy', 'Eyewear']",Outerwear Wheel Tartan Car Shorts Tire Waist Thigh Happy Eyewear
9,9,Image,https://www.instagram.com/p/Clg5AGNMINL/,https://scontent-fra5-2.cdninstagram.com/v/t51.2885-15/317226570_146890951438705_6684125837538157741_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=1&_nc_ohc=i_iDQvjXSFsAX_U75iF&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDqesnaVsZwgEMOQ5j_HB2nHjYc-4nGmU014E560ukh8A&oe=638BB43C&_nc_sid=86f79a,"It's giving Parisian chic 💗🥖@nermen.kassoum

Shop Item #: 2681375 10625697 5769062 11499276 9755050 11559619 11568958 3180956
⁠
#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD",47,7846,"['Outerwear', 'Shoulder', 'Window', 'White', 'Leg', 'Neck', 'Textile', 'Sleeve', 'Waist', 'Thigh']",Outerwear Shoulder Window White Leg Neck Textile Sleeve Waist Thigh
12,12,Image,https://www.instagram.com/p/ClgPu9-JmDj/,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/317008244_1289770635177139_5392938318765962409_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=1nP5cAe5lV0AX-Bp2Jq&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD6yJOsIqEp4Ny-YF6fYU-bnfkDy8_aWzBRP_mLtfC1vw&oe=638B6409&_nc_sid=86f79a,"Mini skirt in the Big Apple 🗽 @4deline__

Shop Item #: 3387685

#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD",59,6961,"['Building', 'Thigh', 'Sky', 'Metropolis', 'Beauty', 'Human leg', 'Electric blue', 'Knee', 'City', 'Event']",Building Thigh Sky Metropolis Beauty Human leg Electric blue Knee City Event
13,13,Image,https://www.instagram.com/p/ClfsiQhDMx4/,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/317040038_658855249314242_7699229982940516214_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=iPdfiFu6JqQAX-9GBx-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCHDmlVUPr3wbx2j6YMFVqzlt2_6fxXH_ogoM9nD7_jvA&oe=638BA151&_nc_sid=86f79a,"Worth Trying, Worth Buying

🔗:https://shein.shop/tw471p0

#SHEINgoodfinds #SHEINcybermonday",26,2953,"['Purple', 'Font', 'Pink', 'Violet', 'Magenta', 'Advertising', 'Electric blue', 'Event', 'Graphics', 'Brand']",Purple Font Pink Violet Magenta Advertising Electric blue Event Graphics Brand
14,14,Image,https://www.instagram.com/p/CleUJLaSfVH/,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/317150488_2455867214562506_8528797572088986487_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=4yfiFVEgkqAAX8b5AlC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCkb-ck9OjRK34Dm4PxcavO9y45p4fIwHl81ZQeYb3zbA&oe=638BA705&_nc_sid=86f79a,"Go big or go monochrome 🤎 @aishamian⁠
⁠
Shop Item #: 5140982⁠

#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD",57,11354,"['Hair', 'Smile', 'Outerwear', 'Hairstyle', 'One-piece garment', 'Shoulder', 'Leg', 'Dress', 'Plant', 'Neck']",Hair Smile Outerwear Hairstyle One-piece garment Shoulder Leg Dress Plant Neck
15,15,Image,https://www.instagram.com/p/CleNWG4SJtj/,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/317112176_141475675331074_1247306778753838171_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=ro0YGrxlLA8AX_TuVmZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC5HpjDfKp4t1FNBJChz1aMKjfktXE5epMGpxlJMs7NUQ&oe=638CA373&_nc_sid=86f79a,"Va-Va-Vroom 🏍 🔥 @eve_plourde

Shop Item #: 11396716⁠

#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD",50,9332,"['Footwear', 'Shoe', 'Shoulder', 'Leg', 'Flash photography', 'Sleeve', 'Waist', 'Thigh', 'Knee', 'Denim']",Footwear Shoe Shoulder Leg Flash photography Sleeve Waist Thigh Knee Denim
20,20,Image,https://www.instagram.com/p/ClduZKgvRxH/,https://instagram.fcgk33-1.fna.fbcdn.net/v/t51.2885-15/316884178_1169010687375138_5349578396046492656_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fcgk33-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=NQgF93A8l30AX8Obvuk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCmjolIEcPZdxMlhy-2iR1xvThFC_g88mxwWb_1Gnlyfg&oe=638B5D73&_nc_sid=86f79a,"100% COZY ☁

Shop Item #: 3297173

#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD",53,12371,"['White', 'Comfort', 'Textile', 'Wood', 'Rectangle', 'Font', 'Picture frame', 'Pillow', 'Pattern', 'Flooring']",White Comfort Textile Wood Rectangle Font Picture frame Pillow Pattern Flooring
21,21,Image,https://www.instagram.com/p/CldrAjRtpZo/,https://instagram.fcgk33-1.fna.fbcdn.net/v/t51.2885-15/317148950_175534058461253_2370922314371804160_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fcgk33-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=j8Cn_pIY_SMAX8NvDHp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAuaR9hhMeM3mPOnD4RVh2VqucSNRNLyAEMvKQXcN_1gw&oe=638AD5A5&_nc_sid=86f79a,"Is it Christmas Eva already!? 🎄 @evapautov

Shop Item #: 1588252

#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD",67,9242,"['Clothing', 'Shoe', 'White', 'Christmas tree', 'Tartan', 'Fashion', 'Textile', 'Sleeve', 'Waist', 'Thigh']",Clothing Shoe White Christmas tree Tartan Fashion Textile Sleeve Waist Thigh
22,22,Image,https://www.instagram.com/p/Cldnl5Wryza/,https://instagram.fcgk33-1.fna.fbcdn.net/v/t51.2885-15/317055565_2937549093208341_2480312996423563493_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fcgk33-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=F9D3URp0mxkAX-g4PYW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDmMq2WsyEP7w-9j_Kgo4HP5QKmf6hpInf4-mHcetIv_Q&oe=638AD6B7&_nc_sid=86f79a,"All white everything 🤍 @veronika_klimovits

Shop Item #: 4003846

#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD",53,6475,"['Overcoat', 'Hat', 'Neck', 'Coat', 'Fashion', 'Sleeve', 'Waist', 'Trench coat', 'Jacket', 'Collar']",Overcoat Hat Neck Coat Fashion Sleeve Waist Trench coat Jacket Collar
23,23,Image,https://www.instagram.com/p/ClbvX-YDYN7/,https://instagram.fcgk33-1.fna.fbcdn.net/v/t51.2885-15/316968132_545180947033851_7156446867798718752_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fcgk33-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=QjznduhWo5sAX_qpgvL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBQHm9CuNorLDr-D-lIt0GfYl51vF8XVn3YbtOpSD2nIg&oe=638B3C26&_nc_sid=86f79a,"Milky way 🤍@serinaarodriguez

Shop Item #: 10959319 11691780

#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD",24,5084,"['Skin', 'Shoe', 'Hairstyle', 'Shoulder', 'Fashion', 'Flash photography', 'Thigh', 'Waist', 'Eyelash', 'Knee']",Skin Shoe Hairstyle Shoulder Fashion Flash photography Thigh Waist Eyelash Knee
24,24,Image,https://www.instagram.com/p/ClbogmUNNxa/,https://instagram.fcgk33-1.fna.fbcdn.net/v/t51.2885-15/316917487_106881978857524_3617881976200442159_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fcgk33-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=xQoovb3UowcAX-VsN1G&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCOfRvVDI8tmwErzM0GZxl61DAmSmC3nS3QQfanm0hFtQ&oe=638C15C5&_nc_sid=86f79a,"Today's OOTD 😍@xnedda

Shop Item #: 11054607⁠

#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD",46,7992,"['Hair', 'Outerwear', 'Leg', 'Neck', 'Sleeve', 'Waist', 'One-piece garment', 'Gesture', 'Dress', 'Dress shirt']",Hair Outerwear Leg Neck Sleeve Waist One-piece garment Gesture Dress Dress shirt
25,25,Image,https://www.instagram.com/p/ClbXVnRrFQg/,https://instagram.fcgk33-1.fna.fbcdn.net/v/t51.2885-15/317180120_868698244300504_6934966804113271321_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fcgk33-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=v-yK2fbFEdMAX8DZCJS&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCcIwSB36oz2J4P6OOEdlpsD-2RWkwlrzR9PXcix29y4w&oe=638C00AD&_nc_sid=86f79a,"Falling for this look on @bellaretamosa ! 🍁

Shop Item #: 3040633 3024315

#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD",20,5200,"['Face', 'Outerwear', 'Sky', 'Hairstyle', 'Shoulder', 'Cloud', 'Flash photography', 'Neck', 'Sleeve', 'Smile']",Face Outerwear Sky Hairstyle Shoulder Cloud Flash photography Neck Sleeve Smile
27,27,Image,https://www.instagram.com/p/ClbJnpPPqCT/,https://instagram.fcgk33-1.fna.fbcdn.net/v/t51.2885-15/316872232_207411754998461_8641252444147435753_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fcgk33-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=8s404zS4OdMAX_V1DKr&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA55bZLmKzYgu71LHFu7P1AApb_7idsjQeeI46bFC08aw&oe=638CA246&_nc_sid=86f79a,"Did someone say ""park?""🐾 @ashlyschwan

Shop Item #: 11004330 11341548 11667580

#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD",31,4631,"['Clothing', 'Smile', 'Plant', 'Flash photography', 'Happy', 'Dress', 'Necklace', 'Tree', 'Bridal clothing', 'Thigh']",Clothing Smile Plant Flash photography Happy Dress Necklace Tree Bridal clothing Thigh
28,28,Image,https://www.instagram.com/p/ClbCzOlvujJ/,https://scontent-sin6-1.cdninstagram.com/v/t51.2885-15/316748859_845856656538379_6041892133443127394_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-sin6-1.cdninstagram.com&_nc_cat=107&_nc_ohc=S6XNwQFom6oAX_M27D5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBOz-RPpukSaiZ69ZmOIVojf-LXHeNV_FFSda7jZJAU_g&oe=638B2C1C&_nc_sid=86f79a,"Cuteness overload🐶💕 @aidettec @glowmode_official

Shop Item #: 10543564 10543552

#GLOWMODE #glowmodeON #fallfashion",46,5540,"['Face', 'Sky', 'Leg', 'Plant', 'Human body', 'Flash photography', 'Neck', 'Sleeve', 'Waist', 'People in nature']",Face Sky Leg Plant Human body Flash photography Neck Sleeve Waist People in nature
30,30,Image,https://www.instagram.com/p/ClZwTtSLAlq/,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-15/316855244_6103864156300020_8718053905532629662_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=100&_nc_ohc=x_I0p0atA54AX8jyjtn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA1eygFn6XUJqayfStltHU1jyweiSvrkic_EeMaG6kjnw&oe=638C703A&_nc_sid=86f79a,"Lacey days with @apolloniallewellyn @luvletteofficial🌻⁠
⁠
Shop Item #: 8293832⁠
⁠
#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD #luvlette",51,9380,"['Clothing', 'Joint', 'Arm', 'Stomach', 'Shoulder', 'Human body', 'Neck', 'Sleeve', 'Waist', 'Eyelash']",Clothing Joint Arm Stomach Shoulder Human body Neck Sleeve Waist Eyelash
31,31,Image,https://www.instagram.com/p/ClY2B-MSWGg/,https://scontent-sin6-2.cdninstagram.com/v/t51.2885-15/316898425_553467703284545_1144268480460961520_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=105&_nc_ohc=Vn6Io0a_lL8AX-2qO4V&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB99ltcEcQ0uik99BdbUje6QbwAQGK1XZr8Rx7oMehHWw&oe=638C6EA6&_nc_sid=86f79a,"ROMWE X Shelly

👀Eye spy with your little eye...spot the 4 differences! Play with their new collection today👆@paper.tide

Support indie designers and artists, follow @sheinx__official

#SHEINX #graphicdesign #SHEINXArtist",45,4881,"['Font', 'Terrestrial plant', 'Magenta', 'Fashion accessory', 'Fictional character', 'Event', 'Graphics', 'Games', 'Graphic design', 'Clip art']",Font Terrestrial plant Magenta Fashion accessory Fictional character Event Graphics Games Graphic design Clip art
32,32,Image,https://www.instagram.com/p/ClYyhS5sRHC/,https://scontent-sin6-2.cdninstagram.com/v/t51.2885-15/316930971_1149874119004637_2624195813277042850_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=105&_nc_ohc=jGXiGrwUYA0AX9isTmf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDdEVqkWvx7MjlRXhRy1mdy4Kc1_VZdpR_x9mS-EBNWdg&oe=638C8599&_nc_sid=86f79a,"Picture perfect 📸@ariadnagasull

Shop Item #: 5201457

#SHEIN #SHEINforAll #SHEINstyle #fashion #chic #OOTD",32,5126,"['Joint', 'Outerwear', 'Hairstyle', 'Shoulder', 'Leg', 'Flash photography', 'Sleeve', 'Knee', 'Thigh', 'Waist']",Joint Outerwear Hairstyle Shoulder Leg Flash photography Sleeve Knee Thigh Waist
33,33,Image,https://www.instagram.com/p/ClYoNqbJMFq/,https://scontent-sin6-2.cdninstagram.com/v/t51.2885-15/316724376_638136698048384_6315380008211106995_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=108&_nc_ohc=eAimsetYN4UAX_KhJW9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAK0KS6aD9OT5xamjMKL7LnuXWBc7yXeGoQAJ7G1XmB9g&oe=638BDA80&_nc_sid=86f79a,"Hurry up, limited quantities available! Good things come to those who don't wait. 🔥 

🔗:https://shein.shop/m4mdb9f

#SHEINblackfriday #SHEINgoodfinds",192,4762,"['Font', 'Magenta', 'Logo', 'Graphics', 'Brand', 'Electric blue', 'Graphic design', 'Carmine', 'Rectangle', 'Event']",Font Magenta Logo Graphics Brand Electric blue Graphic design Carmine Rectangle Event
36,36,Image,https://www.instagram.com/p/ClWUmCaJd12/,https://scontent-gru2-1.cdninstagram.com/v/t51.2885-15/316577877_1549975145474279_8988390452182374412_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-gru2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Mq31WprSzoUAX98YyF3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDvkcgyMlT8QSFMK_9w-7GTlo9p28Zdj8Sdgog51ktlLA&oe=638B7A32&_nc_sid=86f79a,"Thank you for loving & supporting SHEIN all this time🎁
🤗Blessings & gratitude for everyone💋💋

 #Thanksgiving #SHEINsgiving",27,3196,"['Orange', 'Natural foods', 'Recipe', 'Poster', 'Font', 'Cuisine', 'Pumpkin', 'Food group', 'Publication', 'Advertising']",Orange Natural foods Recipe Poster Font Cuisine Pumpkin Food group Publication Advertising
