,username,location,text
0,MMPconnect,,"#cannabis #marijuana #thc #cannabiscommunity North Dakota, Arkansas voters say no to legalizing marijuana LITTLE ROCK, Ark. (AP) — Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved https://t.co/78OodoVhay https://t.co/h4qTi52Cjo"
1,Nobunchanumbers,"San Jose, California",@USA_Polling The failure to legalize marijuana in Arkansas and the Dakotas — all states where Biden won at least 32 percent of the vote — this year suggest that this is another issue where strong bipartisan support in the polls falls apart when it goes to the ballot. https://t.co/Rks0bHVW5b
2,MMPconnect,,"#cannabis #marijuana #thc #cannabiscommunity Campaign for recreational marijuana in Arkansas breaks fundraising records; polls show cracks 
The campaign to legalize recreational marijuana in Arkansas is already the most expensive ballot initiative in https://t.co/WPYVxdmEGm https://t.co/foWZBMLB6U"
3,MMPconnection,,"#cannabiscommunity #marijuana #cannabis North Dakota, Arkansas voters say no to legalizing marijuana LITTLE ROCK, Ark. (AP) — Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved https://t.co/HD4M6e1tYE https://t.co/rzaFfdQMyb"
4,MMPconnection,,"#cannabiscommunity #marijuana #cannabis Campaign for recreational marijuana in Arkansas breaks fundraising records; polls show cracks 
The campaign to legalize recreational marijuana in Arkansas is already the most expensive ballot initiative in Arkansas https://t.co/SGSt3l3cMq https://t.co/jPJy3isDat"
5,MMPconnect,,"#cannabis #marijuana #thc #cannabiscommunity Marijuana industry spent $23 M to bring the legalize petition to the ballot in Missouri/Arkansas – Newstalk KZRG 

JEFFERSON CITY, Mo. (AP) — The call went out from leaders in the medical marijuana https://t.co/xl7Y2xZS9d https://t.co/vIO95f5G3o"
6,MMPconnect,,"#cannabis #marijuana #thc #cannabiscommunity Campaign for recreational marijuana in Arkansas breaks fundraising records; polls show cracks 
The campaign to legalize recreational marijuana in Arkansas is already the most expensive ballot initiative in https://t.co/WPYVxdncvU https://t.co/VFGmOBoVs9"
7,MMPconnection,,"#cannabiscommunity #marijuana #cannabis Marijuana industry spent $23 M to bring the legalize petition to the ballot in Missouri/Arkansas – Newstalk KZRG 

JEFFERSON CITY, Mo. (AP) — The call went out from leaders in the medical marijuana https://t.co/8zxpo1irpL https://t.co/4uHM2oiMcc"
8,MMPconnection,,"#cannabiscommunity #marijuana #cannabis Campaign for recreational marijuana in Arkansas breaks fundraising records; polls show cracks 
The campaign to legalize recreational marijuana in Arkansas is already the most expensive ballot initiative in Arkansas https://t.co/SGSt3llm0y https://t.co/PwNWrZ2mZ1"
9,MMPconnection,,"#cannabiscommunity #marijuana #cannabis North Dakota, Arkansas voters say no to legalizing marijuana LITTLE ROCK, Ark. (AP) — Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved https://t.co/HD4M6eix0E https://t.co/9wRyl6zNUO"
10,MMPconnect,,"#cannabis #marijuana #thc #cannabiscommunity North Dakota, Arkansas voters say no to legalizing marijuana LITTLE ROCK, Ark. (AP) — Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved https://t.co/78OodoDFLY https://t.co/FcjQ7bKJoD"
11,MMPconnect,,"#cannabis #marijuana #thc #cannabiscommunity North Dakota, Arkansas voters say no to legalizing marijuana LITTLE ROCK, Ark. (AP) — Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved https://t.co/78OodoDFLY https://t.co/STXeGMkJdl"
12,MMPconnect,,"#cannabis #marijuana #thc #cannabiscommunity Campaign for recreational marijuana in Arkansas breaks fundraising records; polls show cracks 
The campaign to legalize recreational marijuana in Arkansas is already the most expensive ballot initiative in https://t.co/WPYVxdEfxU https://t.co/uBR5qNGFtr"
13,MMPconnection,,"#cannabiscommunity #marijuana #cannabis Marijuana industry spent $23 M to bring the legalize petition to the ballot in Missouri/Arkansas – Newstalk KZRG 

JEFFERSON CITY, Mo. (AP) — The call went out from leaders in the medical marijuana https://t.co/8zxpo1iZfj https://t.co/s8t7lrCNbv"
14,MMPconnection,,"#cannabiscommunity #marijuana #cannabis Campaign for recreational marijuana in Arkansas breaks fundraising records; polls show cracks 
The campaign to legalize recreational marijuana in Arkansas is already the most expensive ballot initiative in Arkansas https://t.co/SGSt3l3cMq https://t.co/ApnQb9xTvJ"
15,CapitolWS,,"The push to legalize marijuana for recreational use in deep-red states failed as voters in Arkansas, North Dakota and South Dakota rejected ballot measures on the issue. In Maryland and Missouri, voters approved legalization measures.

https://t.co/IeP5c7Y7vw https://t.co/b0aea8UybL"
