,username,location,text
0,MMPconnect,,"#cannabis #marijuana #thc #cannabiscommunity North Dakota, Arkansas voters say no to legalizing marijuana LITTLE ROCK, Ark. (AP) — Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved https://t.co/78OodoVhay https://t.co/h4qTi52Cjo"
1,MMPconnection,,"#cannabiscommunity #marijuana #cannabis North Dakota, Arkansas voters say no to legalizing marijuana LITTLE ROCK, Ark. (AP) — Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved https://t.co/HD4M6e1tYE https://t.co/rzaFfdQMyb"
2,HukunDabar,"Fargo, ND","Attorney behind effort to legalize recreational marijuana in North Dakota: ""This isn't going to be the wild-wild west"" https://t.co/glr2UO1kMn via @970WDAY"
3,MMPconnection,,"#cannabiscommunity #marijuana #cannabis North Dakota, Arkansas voters say no to legalizing marijuana LITTLE ROCK, Ark. (AP) — Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved https://t.co/HD4M6eix0E https://t.co/9wRyl6zNUO"
4,MMPconnect,,"#cannabis #marijuana #thc #cannabiscommunity North Dakota, Arkansas voters say no to legalizing marijuana LITTLE ROCK, Ark. (AP) — Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved https://t.co/78OodoDFLY https://t.co/FcjQ7bKJoD"
5,MMPconnect,,"#cannabis #marijuana #thc #cannabiscommunity North Dakota, Arkansas voters say no to legalizing marijuana LITTLE ROCK, Ark. (AP) — Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved https://t.co/78OodoDFLY https://t.co/STXeGMkJdl"
6,CapitolWS,,"The push to legalize marijuana for recreational use in deep-red states failed as voters in Arkansas, North Dakota and South Dakota rejected ballot measures on the issue. In Maryland and Missouri, voters approved legalization measures.

https://t.co/IeP5c7Y7vw https://t.co/b0aea8UybL"
7,Cannaspire,"Philadelphia, PA","Measures to legalize recreational marijuana in Maryland and Missouri were successful in the 2022 midterm elections. Meanwhile, ballot initiatives to legalize recreational marijuana use were defeated by voters in Arkansas, North Dakota, and South Dakota. https://t.co/mXCMVex2V8"
8,MedicineCabLA,"Alexandria, Louisiana","The push to legalize marijuana for recreational use in deep-red states failed as voters in Arkansas, North Dakota and South Dakota rejected ballot measures on the issue. In Maryland and Missouri, voters approved legalization measures.

https://t.co/Zg8DAEUjkh https://t.co/HqLO5BHda4"
9,MMPconnection,,"#cannabiscommunity #marijuana #cannabis North Dakota, Arkansas voters say no to legalizing marijuana LITTLE ROCK, Ark. (AP) — Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved https://t.co/HD4M6e0W96 https://t.co/hEgjEFM1YA"
10,ClergyNDP,,"Measures to legalize adult-use recreational marijuana passed in Maryland and Missouri but were rejected in Arkansas, North Dakota, and South Dakota.

The two wins mean 21 states and D.C. have legalized cannabis for recreational use. 

https://t.co/sDWofCmBJm"
11,HopeRxLA,"Shreveport, LA","The push to legalize marijuana for recreational use in deep-red states failed as voters in Arkansas, North Dakota and South Dakota rejected ballot measures on the issue. In Maryland and Missouri, voters approved legalization measures.

https://t.co/i1nLkwQWtr https://t.co/yGxAaDgFTL"
12,Canaansdad1987,,"Which state approved a ballot measure this week that will legalize recreational marijuana?

Maryland
Arkansas
North Dakota
South Dakota

#scottstriviaAITS"
13,routefifty,"Washington, D.C.","Voters in Maryland and Missouri have approved ballot measures to legalize adult use of recreational marijuana, as similar measures in Arkansas, North Dakota and South Dakota failed. https://t.co/9NFK2SjmLm"
14,MMPconnect,,"#cannabis #marijuana #thc #cannabiscommunity North Dakota, Arkansas voters say no to legalizing marijuana LITTLE ROCK, Ark. (AP) — Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved https://t.co/78OodoVhay https://t.co/DpFnbDazBb"
15,MMPconnection,,"#cannabiscommunity #marijuana #cannabis North Dakota, Arkansas voters say no to legalizing marijuana LITTLE ROCK, Ark. (AP) — Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved https://t.co/HD4M6e0W96 https://t.co/FgsIYFNgtS"
16,EveryBrainMatt,,"The election results on marijuana showed good results..Maryland and Missouri voted to legalize marijuana however North Dakota, South Dakota and Arkansas rejected legalization. Colorado Springs continued to reject marijuana stores in their community.
https://t.co/xGEeVYsa7Q"
17,KOSURadio,Oklahoma,"It was a mixed night for cannabis advocates as measures to legalize adult-use recreational marijuana passed in Maryland and Missouri but were soundly rejected in reliably red Arkansas, North Dakota and South Dakota.

https://t.co/0a36OR2WS5"
18,DavidManel,"Pittsburgh and Portland, Maine","Interesting results on drug-related ballot measures:
-North Dakota, South Dakota and Arkansas reject legalization of cannabis

-Missouri and Maryland legalize marijuana 

-Colorado decriminalizes the possession and use of certain psychedelic plants and fungi"
19,NYDailyNews,New York / fb.com/nydailynews,"Voters harshed the buzz of pot users in North Dakota, South Dakota and Arkansas when they rejected measures to legalize recreational marijuana
https://t.co/7CytTdtaXj"
20,routefifty,"Washington, D.C.","Voters in Maryland and Missouri have approved ballot measures to legalize adult use of recreational marijuana, as similar measures in Arkansas, North Dakota and South Dakota failed.  https://t.co/9NFK2SjmLm"
21,WBUR,Boston,"It was a mixed election for cannabis advocates as measures to legalize adult-use recreational marijuana passed in Maryland and Missouri but were soundly rejected in reliably red Arkansas, North Dakota and South Dakota. https://t.co/HD9ndpjLA4"
22,An3ita5,United States,"@anitafellows4 Ballot measures that will legalize marijuana are expected to pass in two states and fail in three others, Voters in Arkansas, North Dakota and South Dakota rejected measures that would have allowed certain amounts of cannabis possession and recreational consumption"
23,TIME,,"The push to legalize marijuana for recreational use in deep-red states failed on Tuesday as voters in Arkansas, North Dakota and South Dakota rejected ballot measures on the issue. In Maryland and Missouri, voters approved legalization measures
https://t.co/JXGuAjNION"
24,OddswithGOP,"Portland, Oregon ","Maryland and Missouri voted to legalize recreational marijuana, and similar efforts were defeated in Arkansas, North Dakota and South Dakota. 🥳"
25,MagicanMad,Back in me own hell,"It’s cuz North Dakota and a lot of the U.S.A. Don’t understand the positives this plant gives us, the United States need to federally legalize so we can make better shit and help this economy out, but people want to hold us back and not evolve. #Marijuana #Justice #evolve https://t.co/CwMmCLU9og"
26,cworldreport,"San Francisco, CA","At the midterm elections, voters in Maryland and Missouri chose to accept ballot measures to legalize marijuana for recreational use; while voters in Arkansas, North Dakota, and South Dakota rejected measures put before them to legalize recreational pot. https://t.co/5yOgRxuwWr"
27,USATODAY,"USA TODAY HQ, McLean, Va.","Marijuana appeared on ballots in multiple states this year. In Arkansas, Missouri, Maryland, North Dakota and South Dakota, voters were faced with an option to legalize recreational marijuana for people 21 and older.  
https://t.co/N7OV9L5dXs https://t.co/zUbTUMvh0H"
28,errlcup,phoenix az,"The results are in! 

#Missouri ✅️
#Maryland ✅️

#Arkansas ❌️
#South Dakota ❌️
#North Dakota ❌️

Congrats to the newest states to decriminalize adult #cannabis use! 

#marijuana #hemp #cbd #thc #high #stoned #dank #legalize #mmj #azmmj #medicalmarijuana #clone https://t.co/zauMHvuEUH"
29,NotEnuffTech,Worldwide 🌐 ,"CNN PROJECTION: Ballot measures to legalize recreational marijuana use will pass in Maryland and Missouri, and fail in Arkansas, North Dakota and South Dakota.

#Repost @cnnpolitics
📸: Mary Altaffer/AP https://t.co/qrvn0WE66N"
30,TheRabenGroup,"Washington, DC","Five states had proposals to legalize recreational marijuana in Tuesday’s election. Voters in Maryland and Missouri approved the legalization, while similar proposals were rejected in Arkansas, North Dakota, and South Dakota. https://t.co/djX8Baphks"
31,moonsmitty,"Waterbury, CT","Abortion Rights Win Big; Mixed Results for Ballot Measures on Marijuana, Voting, Slavery https://t.co/IRq671xhSq via @democracynow Meanwhile, voters in Maryland and Missouri voted to legalize recreational marijuana, while similar proposals failed in Arkansas and North Dakota."
32,NonviolenceNY,"New York, NY","🗳 Voters in Maryland and Missouri voted to legalize recreational marijuana, while similar proposals failed in Arkansas and North Dakota. -  democracynow"
33,democracynow,New York,"🗳 Voters in Maryland and Missouri voted to legalize recreational marijuana, while similar proposals failed in Arkansas and North Dakota."
34,RosenthalCenter,"New York, NY","""Voters in Maryland and Missouri approved ballot measures to legalize recreational marijuana...but similar efforts were shot down in Arkansas, North Dakota and South Dakota — a mixed result that underscored the varying public attitudes over marijuana use.""
https://t.co/nq6Bor929v"
35,Jane57Lisa,Tampa,"Legalize marijuana ballot initiatives
YES  Maryland, Missouri
NO   North Dakota, Arkansas"
