,url,description,name,superhost,price per night,actual price,beds,rating,sp_url,location,unit rental details,number of guests,more description,amenities1,rental_data,all_amenities,image_urls,host_about
0,/rooms/769160836673200756?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Cozy Oceanview Hideaway #1,Home in Whitethorn,empty,empty,$169,3 beds,empty,https://www.airbnb.com/s/Whitethorn--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&price_filter_input_type=0&price_filter_num_nights=5&query=Whitethorn%2C%20CA&place_id=ChIJ7Xppbifm1FQRz8IqmNmzBq4&date_picker_type=calendar&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"Whitethorn, California, United States",Entire home hosted by Kira5 guests ·  · 2 bedrooms ·  · 3 beds ·  · 1.5 baths,5 guests · **__** · 2 bedrooms · **__** · 3 beds · **__** · 1.5 baths,"This cozy unit is a half of a newly remodeled duplex that is situated on Shelter Cove Golf Course next to the runway and has a clear view of the Pacific Ocean. Watch planes take off and land. Enjoy beautiful sunsets from the front porch. Take a short walk to the beach. This is your ultimate retreat to get away from busy life!The spaceThis 2-story 1500 sq ft unit has an open space on the 1st floor with sitting/ TV area, dining area, half bath and a compact but well-equipped kitchen with brand new appliances. Second floor has 2 bedrooms (one with king, another with queen and twin beds) and a full bathroom with a shower. Perfect for a family of 4-5, group of friends or 2 couples. Roku TV in each bedroom to keep up with your favorite TV series and movies. Large capacity washer and dryer located in the garage. There is a set of golf clubs if you forgot yours or want to give a golfing a try, it is only 2 steps away!",Golf course view**__**Ocean view**__**Beach access**__**Kitchen**__**Wifi**__**Free parking on premises**__**Pets allowed**__**TV**__**Washer**__**Free dryer – In unit,,[],[],host data is not there
1,/rooms/43602732?adults=1&children=0&infants=0&pets=0&check_in=2023-01-04&check_out=2023-01-09&previous_page_section_name=1000,"Shelter Cove ""Vista Cabin"" pristine coastal views",Home in Whitethorn,Superhost,$179 ,empty,4 beds,4.99 ·,https://www.airbnb.com/s/Whitethorn--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&price_filter_input_type=0&price_filter_num_nights=5&query=Whitethorn%2C%20CA&place_id=ChIJ7Xppbifm1FQRz8IqmNmzBq4&date_picker_type=calendar&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"Whitethorn, California, United States",Entire home hosted by Elizabeth7 guests ·  · 3 bedrooms ·  · 4 beds ·  · 2 baths,7 guests · **__** · 3 bedrooms · **__** · 4 beds · **__** · 2 baths,empty,,,[],[],host data is not there
2,/rooms/42511353?adults=1&children=0&infants=0&pets=0&check_in=2022-12-11&check_out=2022-12-16&previous_page_section_name=1000,Retreat Overlooking Black Sands Beach,Guest suite in Whitethorn,Superhost,$150 ,empty,1 queen bed,4.93 ·,https://www.airbnb.com/s/Whitethorn--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&price_filter_input_type=0&price_filter_num_nights=5&query=Whitethorn%2C%20CA&place_id=ChIJ7Xppbifm1FQRz8IqmNmzBq4&date_picker_type=calendar&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"Whitethorn, California, United States",Entire guest suite hosted by Lindsey3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,3 guests · **__** · 1 bedroom · **__** · 1 bed · **__** · 1 bath,empty,,,"['Scenic views\nBeach view\nMountain view\nOcean view', 'Bathroom\nHair dryer\nShampoo\nConditioner\nHot water', 'Bedroom and laundry\nWasher\nDryer\nEssentials\nTowels, bed sheets, soap, and toilet paper\nBed linens\nExtra pillows and blankets\nIron', 'Entertainment\nTV', 'Heating and cooling\nIndoor fireplace\nHeating', 'Home safety\nSecurity cameras on property\nWe have security cameras that monitor the outside of our home, they do not monitor the inside of the rental unit.\nSmoke alarm\nCarbon monoxide alarm\nFire extinguisher', 'Internet and office\nWifi', 'Kitchen and dining\nKitchen\nSpace where guests can cook their own meals\nRefrigerator\nMicrowave\nCooking basics\nPots and pans, oil, salt and pepper\nDishes and silverware\nBowls, chopsticks, plates, cups, etc.\nFreezer\nStove\nOven\nCoffee maker: Keurig coffee machine\nWine glasses\nToaster', 'Location features\nWaterfront\nRight next to a body of water\nPrivate entrance\nSeparate street or building entrance', 'Outdoor\nPatio or balcony\nBackyard\nAn open space on the property usually covered in grass', 'Parking and facilities\nFree parking on premises\nSingle level home\nNo stairs in home', 'Services\nPets allowed\nAssistance animals are always allowed\nSelf check-in\nKeypad\nCheck yourself into the home with a door code\nLong term stays allowed\nAllow stay for 28 days or more', 'Not included\nUnavailable: Air conditioning\nAir conditioning']","['https://a0.muscache.com/pictures/miso/Hosting-42511353/original/03b60110-a03d-41e6-b8ad-e039b14819f5.jpeg', 'https://a0.muscache.com/pictures/miso/Hosting-42511353/original/ad34df7c-7c65-4f7a-94e6-216340848c5d.jpeg', 'https://a0.muscache.com/pictures/miso/Hosting-42511353/original/4f8f441a-7cc2-4f11-ad6f-a91df8a97a41.jpeg', 'https://a0.muscache.com/pictures/miso/Hosting-42511353/original/6594c992-798f-4427-8995-c3e4b32fd47a.jpeg', 'https://a0.muscache.com/pictures/miso/Hosting-42511353/original/620f654f-3bd7-46e7-9b43-ae7927effff6.jpeg']",host data is not there
3,/rooms/652850523221099354?adults=1&children=0&infants=0&pets=0&check_in=2022-12-12&check_out=2022-12-17&previous_page_section_name=1000,Casa Ballena of the Lost Coast,Home in Whitethorn,Superhost,$330 ,empty,3 beds,4.98 ·,https://www.airbnb.com/s/Whitethorn--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&price_filter_input_type=0&price_filter_num_nights=5&query=Whitethorn%2C%20CA&place_id=ChIJ7Xppbifm1FQRz8IqmNmzBq4&date_picker_type=calendar&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"Whitethorn, California, United States",Entire home hosted by Pauline6 guests ·  · 3 bedrooms ·  · 3 beds ·  · 2 baths,6 guests · **__** · 3 bedrooms · **__** · 3 beds · **__** · 2 baths,"This house sits above little black sands beach in a quiet and peaceful neighborhood, a perfect place to kick back and relax or walk to Big Black Sands Beach, coffee shop and Mi Mochima. At the end of your day exploring beautiful Shelter Cove,listen to the waves as you drift off to sleep.The spaceCasa Ballena has high ceilings, tons of natural light, and views of the ocean from every room. The bedrooms are spacious, bright, and with an open window, in earshot of the crashing waves on the beach below.","Mountain view**__**Ocean view**__**Public or shared beach access**__**Kitchen**__**Wifi**__**Dedicated workspace**__**Free parking on premises**__**TV with Apple TV, premium cable**__**Free washer – In unit**__**Free dryer – In unit",Entire home hosted by Pauline,[],"['https://a0.muscache.com/pictures/miso/Hosting-652850523221099354/original/c331cf00-9a83-47da-93d5-09c0aa00d2e7.jpeg', 'https://a0.muscache.com/pictures/miso/Hosting-652850523221099354/original/52889830-330a-4a3b-b284-df1c46f7e430.jpeg', 'https://a0.muscache.com/pictures/miso/Hosting-652850523221099354/original/d516fa27-429d-4086-9986-219c030f2c0d.jpeg', 'https://a0.muscache.com/pictures/miso/Hosting-652850523221099354/original/82b5a0fc-746c-4fa3-b461-b38da5be17c2.jpeg', 'https://a0.muscache.com/pictures/miso/Hosting-652850523221099354/original/a935616a-f0b0-4c5f-8748-8fd141a71d84.jpeg']",host data is not there
4,/rooms/771754253342834664?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-15&previous_page_section_name=1000,"Relaxing escape close to hiking trails, golf, and the Lost Coast",Home in Whitethorn,empty,$73 ,empty,2 queen beds,empty,https://www.airbnb.com/s/Whitethorn--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&price_filter_input_type=0&price_filter_num_nights=5&query=Whitethorn%2C%20CA&place_id=ChIJ7Xppbifm1FQRz8IqmNmzBq4&date_picker_type=calendar&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"Whitethorn, California, United States",Entire home hosted by Vacasa California4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,4 guests · **__** · 2 bedrooms · **__** · 2 beds · **__** · 1 bath,empty,,,[],"['https://a0.muscache.com/pictures/prohost-api/Hosting-771754253342834664/original/10b409ad-3592-4775-9a3b-44ce18a76adc.jpeg', 'https://a0.muscache.com/pictures/prohost-api/Hosting-771754253342834664/original/c4261aa5-2750-4ac8-84a4-bee5a46e7792.jpeg', 'https://a0.muscache.com/pictures/prohost-api/Hosting-771754253342834664/original/589fc647-23cf-4ef4-862e-45e8ee98622d.jpeg', 'https://a0.muscache.com/pictures/prohost-api/Hosting-771754253342834664/original/f34a444f-f574-4dd5-a083-6dafc095ec2b.jpeg', 'https://a0.muscache.com/pictures/prohost-api/Hosting-771754253342834664/original/bc677bcd-21d0-43f4-a9c2-d41368bb227f.jpeg']",host data is not there
5,/rooms/49971336?adults=1&children=0&infants=0&pets=0&check_in=2022-12-03&check_out=2022-12-09&previous_page_section_name=1000,Cozy Oceanfront Home! Only 30 feet from the Water!,Home in Whitethorn,Superhost,$299 ,empty,4 beds,4.88 ·,https://www.airbnb.com/s/Whitethorn--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&price_filter_input_type=0&price_filter_num_nights=5&query=Whitethorn%2C%20CA&place_id=ChIJ7Xppbifm1FQRz8IqmNmzBq4&date_picker_type=calendar&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"Whitethorn, California, United States",Entire home hosted by Jared8 guests ·  · 3 bedrooms ·  · 4 beds ·  · 2.5 baths,8 guests · **__** · 3 bedrooms · **__** · 4 beds · **__** · 2.5 baths,"This oceanfront hideaway is the perfect choice for a family retreat or a reunion with friends. Tucked away on the lost coast of California, where the Kings range meets the Pacific Ocean. Find many restaurants, brewpub, parks, beaches, golf, hikes, fishing and fun, all walking distance from your front door. Or, sit out on the back deck and spend the day listening to the waves crash against the rocks while enjoying the sun, family, friends, good food and good fun.","Bay view**__**Mountain view**__**Public or shared beach access**__**Kitchen**__**Wifi**__**Dedicated workspace**__**Free parking on premises**__**55"" HDTV with Amazon Prime Video, Apple TV, Netflix, Roku**__**Free washer – In building**__**Free dryer – In building",Entire home hosted by Jared,[],"['https://a0.muscache.com/pictures/miso/Hosting-49971336/original/2069c057-cd4e-4097-9cc8-79df3f61ce76.jpeg', 'https://a0.muscache.com/pictures/miso/Hosting-49971336/original/8c6556c7-c618-4f63-b066-9bf07edf8021.jpeg', 'https://a0.muscache.com/pictures/miso/Hosting-49971336/original/7f650e43-4bad-4e3a-b3d9-d1f06b2a6b33.jpeg', 'https://a0.muscache.com/pictures/miso/Hosting-49971336/original/6e65b714-ec97-4ef4-96a4-7bda57640384.jpeg', 'https://a0.muscache.com/pictures/miso/Hosting-49971336/original/34b81aa8-0ce1-446c-98d4-91fd95ae4fad.png']",host data is not there
6,/rooms/48446864?adults=1&children=0&infants=0&pets=0&check_in=2022-12-03&check_out=2022-12-10&previous_page_section_name=1000,"Neptune House, white water view, location, comfort",Home in Whitethorn,Superhost,empty,$295,3 beds,4.92 ·,https://www.airbnb.com/s/Whitethorn--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&price_filter_input_type=0&price_filter_num_nights=5&query=Whitethorn%2C%20CA&place_id=ChIJ7Xppbifm1FQRz8IqmNmzBq4&date_picker_type=calendar&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"Whitethorn, California, United States",Entire home hosted by Monica6 guests ·  · 2 bedrooms ·  · 3 beds ·  · 1.5 baths,6 guests · **__** · 2 bedrooms · **__** · 3 beds · **__** · 1.5 baths**__**Joined in October 2013**__**Privacy·**__**·Terms·**__**·Sitemap**__**Privacy·**__**·Terms·**__**·Sitemap**__**Privacy·**__**·Terms·**__**·Sitemap,"Unobstructed, spectacular ocean views. This house is located in the town of Shelter Cove on the Lost Coast of California. Walking distance to beaches and restaurants, this is the perfect location for your Lost Coast adventure. Plenty of parking and boat parking. Half a mile from the beach, the boat ramp and both Shelter Cove restaurants. Walk across the street to the  golf course. Or walk to the house from your plane. Watch the whales from the living room and listen to the pounding  surf.The spaceThe house has a comfortable 600+sq ft great room with panoramic views of the ocean, crashing waves and the Lost Coast.  Cook your meals on the commercial grade stove as you relax with the Pacific Ocean spreading out before you. Watch the small private planes take off and land or wave at the golfers from the bedroom windows. Spot whales, sea lions and even great white sharks from the front deck.",Golf course view**__**Mountain view**__**Waterfront**__**Kitchen**__**Wifi,Entire home hosted by Monica,[],"['https://a0.muscache.com/pictures/miso/Hosting-48446864/original/e0b0755b-65f9-45db-a530-ef568d107e00.jpeg', 'https://a0.muscache.com/pictures/278349b0-75b1-4982-a020-92b5e8e816f8.jpg', 'https://a0.muscache.com/pictures/miso/Hosting-48446864/original/e2c2b3ac-c536-4433-9ddd-ea5b042219f5.jpeg', 'https://a0.muscache.com/pictures/642fc90c-34dd-488f-a5d2-bd1650be4c8e.jpg', 'https://a0.muscache.com/pictures/miso/Hosting-48446864/original/689419b3-99d7-4e99-bfc9-ca318f783146.jpeg']",host data is not there
7,/rooms/46352019?adults=1&children=0&infants=0&pets=0&check_in=2022-12-03&check_out=2022-12-08&previous_page_section_name=1000,Machi Road Beach Bungalow,Bungalow in Whitethorn,empty,empty,$249,2 beds,4.90 ·,https://www.airbnb.com/s/Whitethorn--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&price_filter_input_type=0&price_filter_num_nights=5&query=Whitethorn%2C%20CA&place_id=ChIJ7Xppbifm1FQRz8IqmNmzBq4&date_picker_type=calendar&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"Whitethorn, California, United States",Entire bungalow hosted by Shannah4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 2 baths,4 guests · **__** · 2 bedrooms · **__** · 2 beds · **__** · 2 baths,"Big ocean views throughout this centrally located beach bungalow.  Newly updated 2 bedroom 2 bathroom beach house with ocean-view deck and BBQ for up to 4 people.   Two cozy en-suite bedrooms with new beds (One Cal-King and one Queen).  Brand new appliances and beds.  A 10 minute walk to the Cove Beach,  Gyppo Brewery, Shelter Cove golf course.  Stream your movies with our Roku t.v., unlimited wifi, and Bose bluetooth speakers.We are pet friendly and allow one small to medium dog.The spaceStream your movies with our Roku t.v., unlimited wifi, and Bose bluetooth speakers.  Help yourself to complimentary coffee with the Keurig coffee machine.  4 parking spots available (2 full size and 2 in front of the house).   This is a quiet neighborhood for someone seeking a retreat environment (no parties).  There is a 25 year age or older age requirement,  except for children with their parents/families.   Thank you!",Beach view**__**Sea view**__**Kitchen**__**Wifi**__**Free parking on premises**__**Pets allowed**__**TV**__**Washer**__**Dryer**__**Patio or balcony,,[],"['https://a0.muscache.com/pictures/40ba4398-760c-4863-9834-627fff0636f0.jpg', 'https://a0.muscache.com/pictures/miso/Hosting-46352019/original/550e7672-d461-4112-a9de-c5cd4fca5dab.jpeg', 'https://a0.muscache.com/pictures/526258c5-b1ee-4106-8102-1005de9b7c63.jpg', 'https://a0.muscache.com/pictures/c0b368cc-85c5-41f9-a322-de7064477f9f.jpg', 'https://a0.muscache.com/pictures/8adde0fd-b15a-4951-b3df-fa141f9df98e.jpg']",host data is not there
8,/rooms/762329481415343603?adults=1&children=0&infants=0&pets=0&check_in=2023-02-05&check_out=2023-02-10&previous_page_section_name=1000,Riverview House Master Suite,Home in Miranda,Superhost,empty,$150,1 bed,empty,https://www.airbnb.com/s/Whitethorn--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&price_filter_input_type=0&price_filter_num_nights=5&query=Whitethorn%2C%20CA&place_id=ChIJ7Xppbifm1FQRz8IqmNmzBq4&date_picker_type=calendar&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"Miranda, California, United States",Entire home hosted by Marisa2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,2 guests · **__** · 1 bedroom · **__** · 1 bed · **__** · 1 bath**__**Joined in January 2016**__**Privacy·**__**·Terms·**__**·Sitemap**__**Privacy·**__**·Terms·**__**·Sitemap**__**Privacy·**__**·Terms·**__**·Sitemap,"Winter Couples or Solo Retreat Special! Experience this hilltop hideaway with great views, a private yard, and sauna. The Master bedroom with en-suite bathroom, along with all common areas will be available for use. The additional 2 bedrooms and bathroom on the upper level are available upon request, or check out our full listing to book, Avenue of the Giants Riverview Home. We kindly invite our guests to read the full listing description before booking.The spaceAs this house is on the hilltop, there are a set of stairs to access the main level of the house.  Behind the sliding barn door, the master bedroom has a private bath with a shower.  The fully equipped kitchen is set off the living room and has an island that is great for meal prep. The Master Suite Special which includes the common areas is approximately 800 square feet of living space plus a large garage and game area on the ground level. The sauna in the backyard is available for guests to use and directions for operation are located in the welcome guide inside the house.The washer and dryer are located on the ground level in the garage, along with a pool tableThe house is set apart from the other two Airbnb’s on the property and surrounded by trees, providing privacy. Relax with an in-home massage. Check out my guidebook to make an appointment for yourself, or your loved one with a local certified massage therapist.",Kitchen**__**Wifi**__**Dedicated workspace**__**Free parking on premises**__**Sauna**__**TV**__**Washer**__**Dryer**__**Air conditioning**__**Bathtub,,[],"['https://a0.muscache.com/pictures/a3a0d17a-16a6-4549-b773-2834a493a2bc.jpg', 'https://a0.muscache.com/pictures/43ddd3df-0490-41de-9424-1753b56d3983.jpg', 'https://a0.muscache.com/pictures/274c8a86-201d-4943-84cc-4ab355d20ba9.jpg', 'https://a0.muscache.com/pictures/21d5b0c1-bab5-4f78-bb52-35bc27cc351d.jpg', 'https://a0.muscache.com/pictures/616c09d8-f17a-4190-8e3c-041df7018544.jpg']",host data is not there
9,/rooms/21370729?adults=1&children=0&infants=0&pets=0&check_in=2022-12-03&check_out=2022-12-08&previous_page_section_name=1000,"🐬Spectacular Ocean View Penthouse, Oceanfront!🌊",Condo in Whitethorn,Superhost,$425 ,empty,1 king bed,4.95 ·,https://www.airbnb.com/s/Whitethorn--California--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&price_filter_input_type=0&price_filter_num_nights=5&query=Whitethorn%2C%20CA&place_id=ChIJ7Xppbifm1FQRz8IqmNmzBq4&date_picker_type=calendar&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"Whitethorn, California, United States",Entire condo hosted by Simy3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1.5 baths,3 guests · **__** · 1 bedroom · **__** · 1 bed · **__** · 1.5 baths**__**Joined in July 2012,"Sits right above Little Black Sands Beach overlooking the Pacific. It’s all about peace, relaxation and listening to the waves  at night while watching the stars on the milky way from the hot tub. If that's not your thing, we have premium DIRECTV with sports package, and Free Starlink high speed internet. Look for Deers, Foxes, Pelicans, Whales, Sea lions, Otters. Great sport fishing, Hiking, surfing and golfing. Amazing sunsets!The spaceGreat location for whale watching, migrating birds, Sea otters, Sea Lions as it sits on a cliff right above Little Black Sands Beach, 250 feet above sea level. Amazing sunsets because of unobstructed  180 degrees panoramic ocean views. Free High-Speed wifi and Free Parking. This condo is on the top floor of a Duplex. The other condo in the building has its own private entrance, deck and hot tub.","Ocean view**__**Sea view**__**Beach access – Beachfront**__**Kitchen**__**Fast wifi – 79 Mbps**__**Free driveway parking on premises**__**Private hot tub - available all year, open 24 hours**__**42"" HDTV with Amazon Prime Video, Disney+, Hulu, Netflix, premium cable, Roku, DVD player**__**Bathtub**__**Security cameras on property",Entire condo hosted by Simy,"['Scenic views\nBeach view\nOcean view\nSea view', 'Bathroom\nBathtub\nHair dryer\nCleaning products\nDove shampoo\nDove conditioner\nDove body soap\nHot water\nShower gel', 'Bedroom and laundry\nEssentials\nTowels, bed sheets, soap, and toilet paper\nHangers\nBed linens\nExtra pillows and blankets\nIron\nClothing storage: dresser and closet', 'Entertainment\n42"" HDTV with Amazon Prime Video, Disney+, Hulu, Netflix, premium cable, Roku, DVD player\nBooks and reading material', 'Heating and cooling\nIndoor fireplace: gas\nCeiling fan\nHeating', 'Home safety\nSecurity cameras on property\nCamera on the driveway\nSmoke alarm\nCarbon monoxide alarm\nFire extinguisher\nFirst aid kit', 'Internet and office\nFast wifi – 79 Mbps\nVerified by speed test. Stream 4K videos and join video calls on multiple devices.', 'Kitchen and dining\nKitchen\nSpace where guests can cook their own meals\nRefrigerator\nMicrowave\nCooking basics\nPots and pans, oil, salt and pepper\nDishes and silverware\nBowls, chopsticks, plates, cups, etc.\nFreezer\nDishwasher\nFrigidaire gas stove\nOven\nHot water kettle\nCoffee maker: drip coffee maker\nWine glasses\nToaster\nBaking sheet\nBlender\nTrash compactor\nCoffee\nDining table', 'Location features\nWaterfront\nRight next to a body of water\nBeach access – Beachfront\nGuests can enjoy a nearby beach\nPrivate entrance\nSeparate street or building entrance', 'Outdoor\nPrivate patio or balcony\nOutdoor furniture\nOutdoor dining area', 'Parking and facilities\nFree driveway parking on premises\nFree street parking\nPrivate hot tub - available all year, open 24 hours\nSingle level home\nNo stairs in home', ""Services\nLuggage dropoff allowed\nFor guests' convenience when they have early arrival or late departure\nLong term stays allowed\nAllow stay for 28 days or more\nSelf check-in\nLockbox\nCleaning available during stay"", 'Not included\nUnavailable: Washer\nWasher\nUnavailable: Air conditioning\nAir conditioning']",[],host data is not there
