,MJEVER,MJAGE,MJYFU,MJMFU,MJREC,MJYRTOT,MRTOTFG,MJFQFLG,MRBSTWAY,MRDAYPYR,MRDAYPMO,MRDAYPWK,MJDAY30A,MR30EST
0,1,19,9999,99,3,993,98,98,93,993,93,93,93,93
1,1,18,9999,99,3,993,98,98,93,993,93,93,93,93
2,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
3,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
4,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
5,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
6,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
7,1,18,9999,99,2,5,98,98,3,5,99,99,93,93
8,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
9,1,15,9999,99,1,60,98,98,2,999,5,99,6,99
10,1,17,9999,99,3,993,98,98,93,993,93,93,93,93
11,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
12,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
13,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
14,1,23,9999,99,2,5,98,98,3,5,99,99,93,93
15,1,14,9999,99,3,993,98,98,93,993,93,93,93,93
16,1,14,9999,99,2,15,98,98,3,15,99,99,93,93
17,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
18,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
19,1,18,9999,99,3,993,98,98,93,993,93,93,93,93
20,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
21,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
22,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
23,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
24,1,13,9985,85,3,993,98,98,93,993,93,93,93,93
25,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
26,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
27,1,14,9999,99,2,6,98,98,3,6,99,99,93,93
28,1,15,9999,99,3,993,98,98,93,993,93,93,93,93
29,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
30,1,18,9999,99,3,993,98,98,93,993,93,93,93,93
31,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
32,1,22,9999,99,3,993,98,98,93,993,93,93,93,93
33,1,14,9999,99,3,993,98,98,93,993,93,93,93,93
34,1,23,9999,99,2,1,98,98,3,1,99,99,93,93
35,1,14,9999,99,1,208,98,98,1,999,99,4,20,99
36,1,14,9999,99,1,364,98,98,1,999,99,7,30,99
37,1,14,9999,99,1,6,98,98,3,6,99,99,1,99
38,1,18,9999,99,3,993,98,98,93,993,93,93,93,93
39,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
40,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
41,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
42,1,15,9999,99,3,993,98,98,93,993,93,93,93,93
43,1,16,9999,99,1,320,98,98,3,320,99,99,20,99
44,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
45,1,12,9999,99,2,12,98,98,2,999,1,99,93,93
46,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
47,1,19,2018,5,1,24,98,98,2,999,2,99,3,99
48,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
49,1,16,9999,99,1,208,98,98,1,999,99,4,5,99
50,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
51,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
52,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
53,1,23,9999,99,3,993,98,98,93,993,93,93,93,93
54,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
55,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
56,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
57,1,25,9999,99,2,12,98,98,3,12,99,99,93,93
58,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
59,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
60,1,11,9999,99,1,228,98,98,2,999,19,99,1,99
61,1,19,9999,99,3,993,98,98,93,993,93,93,93,93
62,1,13,9999,99,2,60,98,98,2,999,5,99,93,93
63,1,14,9999,99,1,250,98,98,3,250,99,99,28,99
64,1,13,9999,99,1,120,98,98,2,999,10,99,5,99
65,1,13,9999,99,2,994,98,98,2,999,94,94,93,93
66,1,15,2018,3,1,52,98,98,1,999,99,1,12,99
67,1,15,9999,99,3,993,98,98,93,993,93,93,93,93
68,1,17,9999,99,3,993,98,98,93,993,93,93,93,93
69,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
70,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
71,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
72,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
73,1,12,9999,99,1,364,98,98,1,999,99,7,30,99
74,1,15,2019,6,2,3,98,98,3,3,99,99,93,93
75,1,12,9999,99,1,120,98,98,2,999,10,99,1,99
76,1,17,2019,6,2,3,98,98,3,3,99,99,93,93
77,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
78,1,15,9999,99,3,993,98,98,93,993,93,93,93,93
79,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
80,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
81,1,17,9999,99,3,993,98,98,93,993,93,93,93,93
82,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
83,1,13,9999,99,2,3,98,98,3,3,99,99,93,93
84,1,16,2019,4,1,329,98,1,3,345,99,99,25,99
85,1,30,2018,7,3,993,98,98,93,993,93,93,93,93
86,1,15,9999,99,3,993,98,98,93,993,93,93,93,93
87,1,15,9999,99,3,993,98,98,93,993,93,93,93,93
88,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
89,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
90,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
91,1,16,9999,99,1,5,98,98,3,5,99,99,1,99
92,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
93,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
94,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
95,1,18,9999,99,3,993,98,98,93,993,93,93,93,93
96,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
97,2,991,9991,91,91,991,98,98,91,991,91,91,91,91
