,words,freq
0,taste,7894
1,smell,6986
2,feel,6852
3,look,6546
4,overall,6480
5,head,2586
6,beer,1972
7,dark,1856
8,chocolate,1792
9,sweet,1388
10,light,1304
11,notes,1303
12,coffee,1279
13,vanilla,1279
14,like,1265
15,bourbon,1264
16,orange,1233
17,nose,1201
18,carbonation,1168
19,finish,1164
20,lacing,1103
21,pours,1091
22,medium,1073
23,body,1065
24,black,1052
25,white,1047
26,aroma,1044
27,nice,1030
28,glass,1025
29,fruit,966
30,bit,953
31,mouthfeel,933
32,bottle,922
33,well,916
34,thick,902
35,little,898
36,oak,886
37,brown,873
38,citrus,864
39,poured,835
40,flavor,797
41,good,786
42,smooth,780
43,malt,759
44,creamy,749
45,one,742
46,bitterness,719
47,caramel,712
48,barrel,691
49,flavors,679
50,sweetness,672
51,color,669
52,grapefruit,649
53,really,633
54,dry,607
55,alcohol,574
56,mango,561
57,rich,552
58,big,544
59,pineapple,542
60,hops,527
61,tropical,526
62,hazy,522
63,thin,520
64,full,510
65,hop,499
66,finger,498
67,maple,493
68,slightly,487
69,almost,482
70,much,479
71,great,476
72,bitter,476
73,hint,471
74,retention,462
75,pour,441
76,malts,440
77,coconut,435
78,soft,433
79,tart,430
80,bodied,427
81,quite,427
82,funk,426
83,touch,418
84,juicy,416
85,roasted,413
86,peach,402
87,get,401
88,palate,397
89,moderate,396
90,slight,392
91,sour,391
92,pine,391
93,l,390
94,also,390
95,juice,385
96,sugar,374
97,fruits,373
98,quickly,373
99,smells,369
100,cinnamon,365
101,f,365
102,mild,363
103,strong,361
104,lemon,358
105,deep,356
106,appearance,355
107,balanced,353
108,aromas,351
109,still,349
110,foam,347
111,fresh,346
112,wine,342
113,molasses,336
114,sticky,331
115,lots,331
116,stout,325
117,tan,323
118,earthy,323
119,first,322
120,front,321
121,abv,319
122,dank,318
123,even,318
124,toffee,315
125,cocoa,313
126,mouth,312
127,pretty,311
128,super,310
129,golden,303
130,end,300
131,way,298
132,vintage,295
133,small,293
134,yellow,291
135,milk,290
136,back,289
137,fruity,288
138,roast,287
139,ring,287
140,heavy,285
141,around,284
142,cherry,281
143,red,277
144,ive,277
145,balance,276
146,time,276
147,snifter,274
148,complex,272
149,two,270
150,theres,268
151,beers,266
152,heat,262
153,tangerine,261
154,low,260
155,syrup,259
156,bright,258
157,amount,256
158,hints,256
159,huge,254
160,opaque,254
161,booze,253
162,boozy,250
163,oz,248
164,character,246
165,follows,244
166,canned,242
167,leaves,241
168,apricot,240
169,roasty,238
170,note,237
171,tongue,236
172,im,234
173,minimal,233
174,would,233
175,tulip,233
176,subtle,232
177,green,231
178,floral,230
179,high,224
180,along,224
181,long,224
182,best,223
183,comes,217
184,style,216
185,lot,216
186,finishes,215
187,ipa,214
188,fairly,214
189,perfect,210
190,lingering,209
191,sip,206
192,definitely,205
193,mocha,201
194,clear,201
195,though,197
196,honey,196
197,drank,195
198,aftertaste,193
199,profile,192
200,maybe,190
201,lace,189
202,warms,189
203,side,188
204,cream,186
205,presence,186
206,fudge,185
207,right,185
208,crisp,184
209,tartness,183
210,funky,183
211,spicy,183
212,toasted,182
213,base,182
214,looks,181
215,cap,180
216,acidity,180
217,herbal,179
218,top,179
219,pale,179
220,fluffy,179
221,present,177
222,bubbles,176
223,apple,176
224,could,174
225,colored,173
226,thanks,172
227,beautiful,172
228,raspberry,172
229,excellent,171
230,drink,171
231,drinking,170
232,fingers,168
233,oily,168
234,clean,167
235,doesnt,166
236,expected,166
237,brew,165
238,tons,165
239,old,164
240,lightly,164
241,spice,164
242,cherries,163
243,frothy,163
244,melon,162
245,tastes,162
246,faint,160
247,yet,159
248,think,158
249,ripe,158
250,followed,157
251,half,157
252,licorice,157
253,wood,156
254,rind,155
255,cloudy,155
256,foamy,155
257,papaya,154
258,grape,153
259,dense,153
260,better,153
261,thats,153
262,enough,150
263,leaving,150
264,burnt,150
265,come,150
266,pitch,150
267,bottled,150
268,fades,150
269,got,150
270,aged,149
271,delicious,149
272,easy,149
273,ever,147
274,nicely,147
275,batch,146
276,raisins,146
277,dont,145
278,carb,145
279,similar,145
280,brings,144
281,solid,144
282,decent,143
283,without,143
284,date,142
285,lingers,141
286,tap,141
287,grass,140
288,warming,140
289,amazing,138
290,pepper,138
291,less,138
292,settles,138
293,amber,138
294,pint,137
295,complexity,136
296,silky,135
297,intense,134
298,gold,134
299,raisin,134
300,drinkable,132
301,burn,132
302,dried,132
303,char,131
304,bite,131
305,zest,129
306,candy,129
307,slowly,129
308,hoppy,128
309,level,128
310,malty,127
311,getting,126
312,middle,126
313,review,125
314,something,125
315,going,124
316,carbonated,123
317,plenty,123
318,yeast,123
319,looking,122
320,quality,122
321,brewery,122
322,pleasant,122
323,sure,122
324,chewy,122
325,throughout,121
326,loads,121
327,collar,121
328,piney,120
329,haze,119
330,seems,118
331,stone,117
332,served,117
333,overly,116
334,acidic,116
335,background,116
336,khaki,116
337,sourness,116
338,leather,115
339,somewhat,115
340,viscous,115
341,murky,115
342,lime,115
343,behind,114
344,teku,113
345,never,113
346,together,113
347,fine,113
348,liquid,112
349,syrupy,112
350,bread,112
351,love,111
352,texture,111
353,upfront,110
354,forward,110
355,wow,110
356,inch,109
357,blend,109
358,left,109
359,slick,109
360,dated,108
361,hard,108
362,absolutely,108
363,oil,107
364,tobacco,107
365,charred,107
366,dissipates,107
367,stouts,106
368,wet,106
369,years,106
370,mix,105
371,hot,105
372,house,105
373,makes,105
374,perfectly,105
375,nearly,104
376,espresso,104
377,id,104
378,surprisingly,103
379,lighter,103
380,coming,103
381,away,103
382,nothing,102
383,hay,102
384,imperial,102
385,wheat,102
386,guava,102
387,candied,101
388,fantastic,101
389,adds,101
390,peel,101
391,extremely,100
392,fizzy,100
393,average,100
394,oaky,100
395,ale,99
396,resin,98
397,isnt,98
398,bold,98
399,actually,97
