,words,freq
0,taste,7880
1,smell,6984
2,feel,6855
3,look,6547
4,overall,6481
5,head,2585
6,beer,1955
7,dark,1841
8,chocolate,1785
9,sweet,1386
10,light,1302
11,notes,1297
12,vanilla,1276
13,coffee,1275
14,bourbon,1262
15,like,1253
16,orange,1244
17,nose,1201
18,carbonation,1170
19,finish,1166
20,lacing,1104
21,pours,1091
22,medium,1075
23,body,1066
24,black,1051
25,white,1047
26,aroma,1042
27,nice,1037
28,glass,1026
29,fruit,963
30,bit,948
31,mouthfeel,932
32,well,915
33,bottle,909
34,thick,901
35,little,898
36,oak,879
37,citrus,879
38,brown,855
39,poured,837
40,flavor,788
41,good,785
42,smooth,781
43,malt,756
44,creamy,742
45,one,734
46,bitterness,721
47,caramel,709
48,barrel,692
49,flavors,676
50,sweetness,673
51,color,671
52,grapefruit,651
53,really,628
54,dry,607
55,mango,574
56,alcohol,564
57,pineapple,552
58,rich,551
59,big,540
60,tropical,532
61,hazy,527
62,hops,521
63,thin,518
64,full,507
65,hop,503
66,finger,500
67,maple,492
68,slightly,492
69,bitter,482
70,almost,479
71,great,474
72,much,473
73,hint,465
74,retention,464
75,malts,439
76,pour,438
77,coconut,435
78,soft,433
79,quite,431
80,bodied,429
81,tart,427
82,funk,425
83,juicy,416
84,touch,416
85,roasted,413
86,peach,404
87,pine,401
88,moderate,395
89,get,395
90,palate,393
91,sour,391
92,also,389
93,slight,387
94,juice,387
95,l,386
96,quickly,372
97,sugar,369
98,fruits,367
99,smells,364
100,cinnamon,364
101,f,362
102,mild,359
103,strong,357
104,lemon,356
105,aromas,353
106,deep,353
107,balanced,352
108,appearance,351
109,still,349
110,fresh,346
111,foam,344
112,wine,338
113,sticky,331
114,lots,329
115,molasses,329
116,dank,325
117,stout,324
118,earthy,322
119,tan,322
120,front,321
121,first,318
122,even,316
123,abv,316
124,toffee,315
125,super,311
126,cocoa,311
127,pretty,310
128,golden,309
129,mouth,307
130,end,296
131,vintage,295
132,yellow,292
133,way,290
134,small,289
135,milk,287
136,roast,287
137,back,286
138,heavy,286
139,ring,285
140,fruity,283
141,around,281
142,cherry,280
143,balance,276
144,ive,275
145,red,274
146,snifter,274
147,time,274
148,complex,268
149,two,267
150,beers,266
151,theres,266
152,bright,263
153,tangerine,262
154,low,259
155,syrup,259
156,heat,257
157,hints,256
158,amount,254
159,huge,252
160,booze,252
161,oz,251
162,opaque,250
163,character,247
164,boozy,246
165,follows,245
166,leaves,241
167,canned,241
168,apricot,240
169,roasty,239
170,tongue,234
171,tulip,233
172,note,232
173,im,232
174,minimal,229
175,green,229
176,would,229
177,subtle,228
178,floral,228
179,along,224
180,long,224
181,high,224
182,best,219
183,ipa,218
184,lot,214
185,comes,214
186,style,213
187,fairly,213
188,finishes,210
189,lingering,209
190,definitely,206
191,sip,205
192,perfect,204
193,mocha,202
194,clear,196
195,honey,196
196,aftertaste,195
197,though,195
198,drank,194
199,profile,192
200,side,190
201,lace,189
202,maybe,189
203,fudge,185
204,right,185
205,crisp,185
206,cream,185
207,presence,184
208,tartness,184
209,warms,184
210,funky,183
211,base,182
212,spicy,182
213,looks,181
214,herbal,181
215,fluffy,181
216,toasted,180
217,top,178
218,pale,177
219,acidity,177
220,present,177
221,cap,176
222,apple,175
223,bubbles,174
224,beautiful,173
225,colored,172
226,could,172
227,raspberry,172
228,thanks,171
229,excellent,169
230,drinking,167
231,drink,167
232,fingers,167
233,oily,166
