ID	Date	user_id	comments
0	June 29, 2000 9:33PM	bdreggors	"One of my current favorites is the Lexus IS commercial where the guy blackmails his boss with poloroids. Quite funny!

My least favorite right now is the ""My Toyota"" one. That cheesy song remake gets on my nerves."
1	June 30, 2000 2:14AM	markz2k	"What's the deal with the Dog family in the Odysey commercials? I've never heard them, cause I always videotape everything I want to watch so I can skip the commercials later. Are they trying to say the Odysey isn't good enough for people, only dogs should drive it? I always try to avoid companies with obnoxius commeercials, but I just bought a 00 Accord anyway. (I don't want my money going to finance more commercials that are annoying to me.)
For that reason, I haven't been to a Taco Bell since they started using that stupid dog a few years ago.

Anybody else have an opinion on the Odysey commercial?"
2	June 30, 2000 1:57PM	roadroach	"The whole point of commercials is to get your attention. They don't have to be relevant. I also find that whole series of commercials to be kinda stupid (even though it looks kinda sorta cool).

When the new Tundra came out, Toyota ran a commercial where they lined up the truck against a Lotus at a drag strip....of course the truck was losing....until they hit the dirt road at about 1/2 track. That was kinda different..."
3	June 30, 2000 3:04PM	markz2k	"Yeah, I agree the point is to get your attention, but it can easily backfire and turn customers away from buying your product. (Like me and Taco Bell)

Never saw the Tundra commercial, but it least it was relevant to the product. If the Accord hadn't been the best choice for me, I might very well have been swayed AWAY from Honda by those commercials. Not that the other manufacturers are any less obnoxious, just don't remember seeing one that was."
4	June 30, 2000 3:25PM	bdreggors	"I've noticed two fallicies in Hodna commercials:
1) The Accord Seminar commercial. The speaker says to ""Close your eyes...and picture yourself as this"" and the screens show pictures of Accords. But how can you see what it is if you close your eyes?

2) The Civic gas pump commercial. It's supposed to convey how fuel efficient the Civic is, but it shows a digital pump screen with the ""clikity-clack/ding"" sound of an analog pump.

This either says that Honda needs to analyze their commercials more before sending them to the TV stations, or I watch waaay to much TV!"
5	June 30, 2000 4:03PM	floridian	"The Camry commercial that says over and over that the Camry is too sexy for-------- God, that is irritating. How could ANYONE call a Camry sexy to begin with is beyond me. Throw that tape in the dumper!!

Floridian"
6	June 30, 2000 4:13PM	fezo	"Absolutely! Next Chevy will advertise sexy Malibus!

I absolutely detest the Toyotathon ads when they run. Does anyone still go to a car dealer because of a splashy campaign like that - ""oh, it looks like a lot of fun at the car dealership - let's go..."" Please!"
7	June 30, 2000 5:34PM	bdreggors	That's an oxymoron
8	June 30, 2000 5:46PM	microrepair	"is TOTALLY irritated by those Toyotathon commercials they run every month touting their ""Only 3 days left to get these big reductions""!!
What they mean is 3 days to the next one... And when have you ever seen 30 people milling around and running back and forth from one car to another in a dealer's showroom. Unless it was a couple of families with totally undisciplined kids.!!
What has any of that got to do with the features or quality of their cars???
I agree that one of the few ads of Toyota's that is any good is the Tundra going off the dragstrip into it's off-road mode.."
9	June 30, 2000 5:58PM	andrew21	"...the new ""zoom zoom zoom"" campaign by Toyota? I find it kinda catchy. But I suspect it's going to be real irritating when I hear it for the 15th time.

I like that BMW commercial where it shows one of their cars w/ a musical pattern being ""written"" by the engine note. Kewl.

I like the Porsche commercial for their Porsche Experience school. Very kewl."
10	June 30, 2000 6:16PM	roadroach	"I'm starting to get a little irritated by the Chevy Monte Carlo adds with the Tazmanian Devil. First off - there's nothing wild and unrestrained about the freakin' car (unless you count the drugs the stylists were obviously on when they pinned the whole sorry thing).

They've also been running the ads lately with Jeff Gordon in them.....ok, I guess I can see the tie in......except the NASCAR version of the Monte and the street version have nothing, zero, nada, zilch in common."
11	June 30, 2000 6:18PM	roadroach	Remember the Ford Focus commercial when it first came out? (Focus sitting in front of nightclub, music pumping, line of people waiting to get in). Yeah right, I can just see some hip-hop, gangsta rappa and his ladies partying in a.......Ford Focus. Ooooooookay.....
12	June 30, 2000 6:21PM	roadroach	I like the VW commercial where the guy parks at the grocery car, walks out of frame, grocery cart rolls towards car, and guy SPRINTS back into frame to tackle the cart. Ouch, thats gotta hurt.
